"id","batchID","batchIDLastChangedAt","bonus","bonusLastChangedAt","decision","decisionLastChangedAt","gameID","gameIDLastChangedAt","playerID","playerIDLastChangedAt","roundID","roundIDLastChangedAt"
"01KFYBJTBJZN6QQ2RRZTVP5X05","01KFYB3WETAE3NX4MNQRZ0H054","2026-01-26T23:52:48.242787001Z",0,"2026-01-26T23:52:53.438986227Z","B","2026-01-26T23:52:53.408705645Z","01KFYB3WF3TYJE8PQD5KPHR31A","2026-01-26T23:52:48.242787001Z","01KFYBBBMECEDYFV4C62CFDJYT","2026-01-26T23:52:48.242787001Z","01KFYBG5R4ZEXZYM4MF14RRA64","2026-01-26T23:52:48.242787001Z"
"01KFYBVKT5Q2A0GDVZNK4E9DWN","01KFYB4CJVK0E9CM7VJS8SEE5D","2026-01-26T23:57:36.453753789Z",17,"2026-01-26T23:58:52.901870734Z","D","2026-01-26T23:58:52.881862653Z","01KFYB4CK59YSD539EMMQ4H53N","2026-01-26T23:57:36.453753789Z","01KFYBC555J8P9TZFKQH8VSJ1H","2026-01-26T23:57:36.453753789Z","01KFYBR02G6A7R930SDX5C6VAR","2026-01-26T23:57:36.453753789Z"
"01KFYBNZJK8CY0FWW4B2CXX0N9","01KFYB4CANT90CFKYK313QFXK0","2026-01-26T23:54:31.891079947Z",10,"2026-01-26T23:54:37.217083034Z","B","2026-01-26T23:54:36.189963592Z","01KFYB4CB1G2R7A023X1DQ936J","2026-01-26T23:54:31.891079947Z","01KFYB26EKH27XP57V9QHTQDVQ","2026-01-26T23:54:31.891079947Z","01KFYBNBEKCW93WYNGSKQ44BWB","2026-01-26T23:54:31.891079947Z"
"01KFYC11RY2XBJNAVAKXFTS2QG","01KFYB4CPGHZ33P7TDQEHX4900","2026-01-27T00:00:34.590982667Z",20,"2026-01-27T00:00:35.886924248Z","B","2026-01-27T00:00:35.787528713Z","01KFYB4CPT3WCXNEGK2FSZ9Z0J","2026-01-27T00:00:34.590982667Z","01KFYBPCC45WPJYS8KZKKCR78Q","2026-01-27T00:00:34.590982667Z","01KFYBY1FPFZEA0K2BEVMV1Y0G","2026-01-27T00:00:34.590982667Z"
"01KFYARTA8M2Z9W1KMWJT2PD8H","01KFY9K38R9B0V2KDXTE5BW1TW","2026-01-26T23:38:36.232420752Z",10,"2026-01-26T23:38:39.894435463Z","A","2026-01-26T23:38:39.888141882Z","01KFY9K38ZXYCWCYYG4A3WMAZW","2026-01-26T23:38:36.232420752Z","01KFYAFJ55FDGFZ9S3KAFEYVJX","2026-01-26T23:38:36.232420752Z","01KFYAPV67TS1S7Y66K164AQB2","2026-01-26T23:38:36.232420752Z"
"01KFYB8YR7H1K9MA1D6SJ5DYQD","01KFYB2EV7WTMQDNWMACYR8165","2026-01-26T23:47:25.064012644Z",17,"2026-01-26T23:47:31.56242516Z","D","2026-01-26T23:47:30.574082587Z","01KFYB2EVG398299GP4TR87MGB","2026-01-26T23:47:25.064012644Z","01KFYAXC47RDBBPX64WAKXNAG7","2026-01-26T23:47:25.064012644Z","01KFYB75PHDPBM7F463EQ3E928","2026-01-26T23:47:25.064012644Z"
"01KFYBA1J73KXGCQ33J3ABH02D","01KFYB2F0MZF5DBBHETCFCZHVH","2026-01-26T23:48:00.711722966Z",19,"2026-01-26T23:48:02.708966462Z","C","2026-01-26T23:48:02.561789696Z","01KFYB2F0VT86G75RZSSQ427N5","2026-01-26T23:48:00.711722966Z","01KFYB42CMQ2FE9CDCWNCB7T5G","2026-01-26T23:48:00.711722966Z","01KFYB9BVDJ390GB5SJQWM59T9","2026-01-26T23:48:00.711722966Z"
"01KFYBH63EWQ6F16N0NFQ4BP9M","01KFYB2FBKD7JXPFCMWPMFS0BZ","2026-01-26T23:51:54.734046093Z",20,"2026-01-26T23:51:57.643891664Z","B","2026-01-26T23:51:57.625277238Z","01KFYB2FBWSZHHMASWSC1DBXFY","2026-01-26T23:51:54.734046093Z","01KFYB42AQTC4R2X1BFHMZEZZT","2026-01-26T23:51:54.734046093Z","01KFYBCWGDE2T7EHVQW6GCT42A","2026-01-26T23:51:54.734046093Z"
"01KFYC182SRX9HGKYJG38PRMSY","01KFYB4CPGHZ33P7TDQEHX4900","2026-01-27T00:00:41.04983219Z",20,"2026-01-27T00:00:43.587281624Z","A","2026-01-27T00:00:43.562359843Z","01KFYB4CPT3WCXNEGK2FSZ9Z0J","2026-01-27T00:00:41.04983219Z","01KFYBTYPJZS5VP0D5062RBF1G","2026-01-27T00:00:41.04983219Z","01KFYBY1FDWA8EAABH0Q0DFN22","2026-01-27T00:00:41.04983219Z"
"01KFYCCWMH14HKFJY1PEKAPDM8","01KFYB4CSMRTXHJAQAWH5JF6WN","2026-01-27T00:07:02.545926964Z",0,"2026-01-27T00:07:07.805020052Z","C","2026-01-27T00:07:03.365823788Z","01KFYB4CSXW0KBA31W5D250BT6","2026-01-27T00:07:02.545926964Z","01KFYC751ZMD08DC3S1SFSF1GR","2026-01-27T00:07:02.545926964Z","01KFYCATR21J74MS34XYNGJG6G","2026-01-27T00:07:02.545926964Z"
"01KFYAZVS9P3CQ814M2SRR3C2D","01KFY9K3FECGDJ0FHHKXFE01J3","2026-01-26T23:42:27.113626199Z",17,"2026-01-26T23:42:29.573704411Z","D","2026-01-26T23:42:28.860035044Z","01KFY9K3FN5263WR0FAQX9QS28","2026-01-26T23:42:27.113626199Z","01KFYAFSQ32E1S8JVCSQNTKSTN","2026-01-26T23:42:27.113626199Z","01KFYASH86D2SNJWQSVWDTV7T1","2026-01-26T23:42:27.113626199Z"
"01KFYBZJRM16WQ8KVJKSYJHTTP","01KFYB4CPGHZ33P7TDQEHX4900","2026-01-26T23:59:46.452549556Z",20,"2026-01-27T00:00:01.549725175Z","B","2026-01-27T00:00:01.532254639Z","01KFYB4CPT3WCXNEGK2FSZ9Z0J","2026-01-26T23:59:46.452549556Z","01KFYBPCC45WPJYS8KZKKCR78Q","2026-01-26T23:59:46.452549556Z","01KFYBY1EMDJ81TK4TY1JFGVZE","2026-01-26T23:59:46.452549556Z"
"01KFYCCN0WASVQRGN2ANW5FJ7E","01KFYB4CSMRTXHJAQAWH5JF6WN","2026-01-27T00:06:54.748919119Z",0,"2026-01-27T00:06:58.56852996Z","C","2026-01-27T00:06:55.65284425Z","01KFYB4CSXW0KBA31W5D250BT6","2026-01-27T00:06:54.748919119Z","01KFYC751ZMD08DC3S1SFSF1GR","2026-01-27T00:06:54.748919119Z","01KFYCATQVN7Y7FV06YTEKRGW0","2026-01-27T00:06:54.748919119Z"
"01KFYASDZE1V3879D4VT2TF6AY","01KFY9K38R9B0V2KDXTE5BW1TW","2026-01-26T23:38:56.366822674Z",10,"2026-01-26T23:38:57.591696939Z","B","2026-01-26T23:38:57.48594367Z","01KFY9K38ZXYCWCYYG4A3WMAZW","2026-01-26T23:38:56.366822674Z","01KFYAJQA3C62WKZFY3CH3P1MW","2026-01-26T23:38:56.366822674Z","01KFYAPV68VARNQQKTP4N2NXSM","2026-01-26T23:38:56.366822674Z"
"01KFYAZSBM3TF2DKJNYJJ6K0NP","01KFY9K424A0E7V1JVKHK6VWM4","2026-01-26T23:42:24.628818826Z",19,"2026-01-26T23:42:33.547986575Z","C","2026-01-26T23:42:32.298144315Z","01KFY9K42AHW7GHFTXMN7EGHFW","2026-01-26T23:42:24.628818826Z","01KFYARN7DV6PVPV4SYYPED9PC","2026-01-26T23:42:24.628818826Z","01KFYAXXHFGP8MMDD4JKZYP6RQ","2026-01-26T23:42:24.628818826Z"
"01KFYBR3D615GY2R3H37XKK2EX","01KFYB4CANT90CFKYK313QFXK0","2026-01-26T23:55:41.35016122Z",20,"2026-01-26T23:55:43.324974719Z","B","2026-01-26T23:55:43.309889961Z","01KFYB4CB1G2R7A023X1DQ936J","2026-01-26T23:55:41.35016122Z","01KFYB26EKH27XP57V9QHTQDVQ","2026-01-26T23:55:41.35016122Z","01KFYBNBFFWKE26TMR9HXAK4E6","2026-01-26T23:55:41.35016122Z"
"01KFYBRA1D1HHYA5GRW4MJYZC9","01KFYB3WP8SWWBY2FSZX106J0A","2026-01-26T23:55:48.141653353Z",17,"2026-01-26T23:55:50.455273454Z","D","2026-01-26T23:55:49.673547861Z","01KFYB3WPHEABJK40AH8192H19","2026-01-26T23:55:48.141653353Z","01KFYB99KNWSSVSZH2Z8AR5BF6","2026-01-26T23:55:48.141653353Z","01KFYBJ4GAP3ZKKCN5C31940F0","2026-01-26T23:55:48.141653353Z"
"01KFYCDF7B5GZCBY875A2T54SQ","01KFYB4CSMRTXHJAQAWH5JF6WN","2026-01-27T00:07:21.579418676Z",10,"2026-01-27T00:07:30.938680113Z","B","2026-01-27T00:07:30.923803337Z","01KFYB4CSXW0KBA31W5D250BT6","2026-01-27T00:07:21.579418676Z","01KFYC751ZMD08DC3S1SFSF1GR","2026-01-27T00:07:21.579418676Z","01KFYCATR521B5PGKBX0AAY4TF","2026-01-27T00:07:21.579418676Z"
"01KFYAQENB1SW6NFA7MWERR29N","01KFY9HTJJ4QFNK0GT580T7CHT","2026-01-26T23:37:51.531884693Z",17,"2026-01-26T23:37:53.840377546Z","D","2026-01-26T23:37:53.70003467Z","01KFY9HTK0EK1PCHVKAZEZ3J5Q","2026-01-26T23:37:51.531884693Z","01KFYAB4M3RBZX0JGFF3J238ZT","2026-01-26T23:37:51.531884693Z","01KFYAH5XBF4REDH63E54JKKCD","2026-01-26T23:37:51.531884693Z"
