id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KFEHT03YQTP44ZNN154PRKY9,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:33:44.062613662Z,7,2026-01-20T20:33:49.961004746Z,D,2026-01-20T20:33:47.311407544Z,01KFEHA1QDYX27N1S60Z95NKD9,2026-01-20T20:33:44.062613662Z,01KFEHFDNYYM4VRPKVABD0N8W8,2026-01-20T20:33:44.062613662Z,01KFEHQRZ4TH1YS8B6ZSMB6BHH,2026-01-20T20:33:44.062613662Z
01KFEJWR5J79PMW80MS9SS2S53,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:52:42.803035343Z,29,2026-01-20T20:52:58.830539659Z,C,2026-01-20T20:52:58.752100949Z,01KFEHAMB65F4EHHS2KPJ10RVS,2026-01-20T20:52:42.803035343Z,01KFEJQ43AZNCTHABZKM6DBV3R,2026-01-20T20:52:42.803035343Z,01KFEJV6V50YKVA42W2E45H3S6,2026-01-20T20:52:42.803035343Z
01KFEK4A8QAZTESTWMRMM2VCH7,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:56:50.711764467Z,19,2026-01-20T20:56:57.686493006Z,C,2026-01-20T20:56:57.117345165Z,01KFEJ5C9822567XDA8A9QG0G3,2026-01-20T20:56:50.711764467Z,01KFEJRM0CNFF8YTKCA6JC16CE,2026-01-20T20:56:50.711764467Z,01KFEK0Q0S4CP92BT63CJ2ZD34,2026-01-20T20:56:50.711764467Z
01KFEDZTVQ0F0CRXY509XKSCRN,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:27:00.983873589Z,29,2026-01-20T19:27:02.712322369Z,C,2026-01-20T19:27:02.694961049Z,01KFEDCC2JDADMPT5RVZQ93BA8,2026-01-20T19:27:00.983873589Z,01KFEDNRR64JDCJYA79FBRE8X8,2026-01-20T19:27:00.983873589Z,01KFEDVKAZREJHWJYHVZEAH663,2026-01-20T19:27:00.983873589Z
01KFEHJ4MW16C8QGRAA1XW67T6,01KFEDC9EK94N2WNCHE5RRQHCJ,2026-01-20T20:29:26.556490521Z,10,2026-01-20T20:29:36.276716792Z,B,2026-01-20T20:29:28.191534603Z,01KFEDC9FGZ2QQQ39YDAAVXSM4,2026-01-20T20:29:26.556490521Z,01KFEHAQ9EZXF31DRKMHESX77N,2026-01-20T20:29:26.556490521Z,01KFEHF2VBFF736KTCBZQQCSPN,2026-01-20T20:29:26.556490521Z
01KFEHNBSR02VEHD8KN1MT8W90,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:31:12.184604091Z,29,2026-01-20T20:31:13.480276003Z,C,2026-01-20T20:31:13.378050468Z,01KFEHA1ZNDEMMB0DK92YAW8BD,2026-01-20T20:31:12.184604091Z,01KFEHEBSJCV2WCY6FBMMN65A3,2026-01-20T20:31:12.184604091Z,01KFEHHMWHAX79VP1M4MVHPBRK,2026-01-20T20:31:12.184604091Z
01KFEHREXYXRTGKX17VCYK2GZD,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:32:53.694216478Z,0,2026-01-20T20:33:10.578422845Z,D,2026-01-20T20:33:10.526253708Z,01KFEHA1YZ8ZAAQFH3AAV34XZC,2026-01-20T20:32:53.694216478Z,01KFEHG3HQKMJV6MDTGGGPAJE2,2026-01-20T20:32:53.694216478Z,01KFEHRCMRRK738XXT19PB12XM,2026-01-20T20:32:53.694216478Z
01KFEEYX3WGW0R3VADY2NCKSCS,01KFEDCCAW3ZY6KSKNHTKZ971F,2026-01-20T19:43:59.100879643Z,,,,,01KFEDCCBAMXNHYHJVMT0BQ1RV,2026-01-20T19:43:59.100879643Z,01KFEEMACSSBNQ4QD5WP8TBWAW,2026-01-20T19:43:59.100879643Z,01KFEEYVG2D7SBAMHJDK8JN4DY,2026-01-20T19:43:59.100879643Z
01KFEHJQPABR2PFPA2TT4Q0ATZ,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:29:46.058933279Z,0,2026-01-20T20:29:47.821820146Z,C,2026-01-20T20:29:47.798960419Z,01KFEHA1R32D8V3SKQA6BEDXA8,2026-01-20T20:29:46.058933279Z,01KFEHBPM0QM8692M9NW91QBAJ,2026-01-20T20:29:46.058933279Z,01KFEHGC81QFGYDYKZ0XSHC0NQ,2026-01-20T20:29:46.058933279Z
01KFEFJFE1R72XYWW138686QNR,01KFEDCAVEZK3QD8ZFC2PP83WE,2026-01-20T19:54:40.449094792Z,10,2026-01-20T19:54:43.300500751Z,B,2026-01-20T19:54:43.279310194Z,01KFEDCAVXCN1BR0PV518R81QD,2026-01-20T19:54:40.449094792Z,01KFEFAMDQ915GZ68HPFMQXZ9N,2026-01-20T19:54:40.449094792Z,01KFEFE5T3D0C05MG2YCP4H9DD,2026-01-20T19:54:40.449094792Z
01KFEHVQFFSVH4Q8JZSEHP4SMJ,01KFEHA1EJWPRPNCXBTHCF12K2,2026-01-20T20:34:40.751143922Z,10,2026-01-20T20:34:47.821872883Z,B,2026-01-20T20:34:47.788730362Z,01KFEHA1GPSKM8FTTA039GX2FE,2026-01-20T20:34:40.751143922Z,01KFEHGGC977SV7QXMD0KQJ3VM,2026-01-20T20:34:40.751143922Z,01KFEHRJXSRB7FPAJNWSY9X69Y,2026-01-20T20:34:40.751143922Z
01KFEJ7C85JCQ3D1B982ZMQD3W,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:41:02.469186021Z,20,2026-01-20T20:41:06.426452095Z,B,2026-01-20T20:41:06.380134209Z,01KFEHA25S6PYJD4DSX1VJG5FE,2026-01-20T20:41:02.469186021Z,01KFEHKBVRWD07VXT4ZKHQQAA6,2026-01-20T20:41:02.469186021Z,01KFEJ3HPZ91NMAPQ6MYD3EXAD,2026-01-20T20:41:02.469186021Z
01KFEJHCXKVFQS29GAAKRR3MYX,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:46:30.835810326Z,10,2026-01-20T20:46:34.074676394Z,B,2026-01-20T20:46:32.395200693Z,01KFEHAM3ZX2QFEZ4F28QFW79D,2026-01-20T20:46:30.835810326Z,01KFEJ99258GDSZYNA4N0ER3PR,2026-01-20T20:46:30.835810326Z,01KFEJDCR9ZKJQY4J73C03HWCS,2026-01-20T20:46:30.835810326Z
01KFEE0BAZAYHP5TVPQN2TBW23,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:27:17.855401229Z,0,2026-01-20T19:27:25.16819722Z,C,2026-01-20T19:27:24.893577878Z,01KFEDCC2JDADMPT5RVP2N7S0X,2026-01-20T19:27:17.855401229Z,01KFEDQK6ZX4EYK4N5S5CFQ5FY,2026-01-20T19:27:17.855401229Z,01KFEDZ32KCEM7CMZ5B6NHATC7,2026-01-20T19:27:17.855401229Z
01KFEE357E16HHRCQRMS35J4MM,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:28:49.90261447Z,29,2026-01-20T19:28:53.70611081Z,C,2026-01-20T19:28:52.509918955Z,01KFEDCC2JDADMPT5RVP2N7S0X,2026-01-20T19:28:49.90261447Z,01KFEDNQAB8C2AFG7D4ZXA4K64,2026-01-20T19:28:49.90261447Z,01KFEDZ32ZZHWD75NZHFJ7C3YQ,2026-01-20T19:28:49.90261447Z
01KFEHYMNR7FB69K1KV1J8VFDJ,01KFEHA1EJWPRPNCXBTHCF12K2,2026-01-20T20:36:16.184856569Z,19,2026-01-20T20:36:32.289097933Z,C,2026-01-20T20:36:18.832986446Z,01KFEHA1GRK7A014NXTNRF457G,2026-01-20T20:36:16.184856569Z,01KFEHG6C81JZ80FMVPH00AMCG,2026-01-20T20:36:16.184856569Z,01KFEHPVNAV2XWMVPDQM4D4PW5,2026-01-20T20:36:16.184856569Z
01KFEJ1EYAMTH9X30CXG8D0NH0,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:37:48.618340965Z,7,2026-01-20T20:37:53.996425517Z,D,2026-01-20T20:37:51.305232833Z,01KFEHA1ZSVYK8DGYZZSV53FQM,2026-01-20T20:37:48.618340965Z,01KFEHMXV04MY34HJYA33HA616,2026-01-20T20:37:48.618340965Z,01KFEHWYW2DXF34Z7JETWM2PWF,2026-01-20T20:37:48.618340965Z
01KFEJ49GH7H3EQPEH30DY3D5C,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:39:21.361575706Z,0,2026-01-20T20:39:34.636443471Z,C,2026-01-20T20:39:34.499074462Z,01KFEHAKMDAJRN7M0QA4VDJCGY,2026-01-20T20:39:21.361575706Z,01KFEHS8J7P9EEBTK2FBSRFBQT,2026-01-20T20:39:21.361575706Z,01KFEJ2SHPE7P35XKXGK774ZH5,2026-01-20T20:39:21.361575706Z
01KFEJ5VQCM1X5N26S847PS51W,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:40:12.780161319Z,0,2026-01-20T20:41:37.604333568Z,C,2026-01-20T20:40:13.940591949Z,01KFEHAKMDAJRN7M0QA4VDJCGY,2026-01-20T20:40:12.780161319Z,01KFEHS8J7P9EEBTK2FBSRFBQT,2026-01-20T20:40:12.780161319Z,01KFEJ2SJEJT0NH9XTTK4C13HZ,2026-01-20T20:40:12.780161319Z
01KFEK2JVEZZ205Y0DGWQ9CPYS,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:55:53.966698582Z,0,2026-01-20T20:56:07.220773606Z,C,2026-01-20T20:56:00.099645103Z,01KFEJ5C9822567XDA8A9QG0G3,2026-01-20T20:55:53.966698582Z,01KFEJRM0CNFF8YTKCA6JC16CE,2026-01-20T20:55:53.966698582Z,01KFEK0Q25Y0BVXY2AEZR944FF,2026-01-20T20:55:53.966698582Z
01KFEE2TR6FWXRXCN0CZAY87FG,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:28:39.174863656Z,10,2026-01-20T19:28:43.504539727Z,A,2026-01-20T19:28:41.924185942Z,01KFEDCB139KMAVWQ3WS54614D,2026-01-20T19:28:39.174863656Z,01KFEDV9TKV9GTHAZ1F6R9Z694,2026-01-20T19:28:39.174863656Z,01KFEE0HE7CYKX8QCHJHR2K5B2,2026-01-20T19:28:39.174863656Z
01KFEFM3PVZGRAZM97FM3R5760,01KFEDC9EK94N2WNCHE5RRQHCJ,2026-01-20T19:55:33.97956196Z,,,,,01KFEDC9FHECNJXE9XQY06NB5G,2026-01-20T19:55:33.97956196Z,01KFEFBSZAAMP372RZJEJ7RG4Z,2026-01-20T19:55:33.97956196Z,01KFEFJJV53TRHVV5A6ZZWB35F,2026-01-20T19:55:33.97956196Z
