id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KFEHR30XQXV6KQPQWT2W3PM1,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:32:41.501154996Z,true,2026-01-20T20:34:48.473537582Z,01KFEHA1QMX5DYGHPSSSP2RXXX,2026-01-20T20:32:41.501154996Z,9,2026-01-20T20:32:41.501154996Z,9,2026-01-20T20:32:41.501154996Z,2,2026-01-20T20:32:41.820219508Z,true,2026-01-20T20:34:42.789717887Z
01KFEJH2YTTXT8ZAMEDWZVWDQC,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:46:20.634997189Z,false,2026-01-20T20:46:20.634997189Z,01KFEHAKMHNYFE3MQRK8FHXJ0Z,2026-01-20T20:46:20.634997189Z,9,2026-01-20T20:46:20.634997189Z,9,2026-01-20T20:46:20.634997189Z,2,2026-01-20T20:46:21.328401937Z,false,2026-01-20T20:46:20.634997189Z
01KFEJMB1DC53Z2SDRK7SEMWFV,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:48:07.213701182Z,true,2026-01-20T20:54:12.915908328Z,01KFEHAMATV7GY0NQF17M2P0MD,2026-01-20T20:48:07.213701182Z,11,2026-01-20T20:48:07.213701182Z,11,2026-01-20T20:48:07.213701182Z,2,2026-01-20T20:48:08.118368233Z,true,2026-01-20T20:54:00.180707645Z
01KFEEHFTNTQ81QGXY4GAQBJ1H,01KFEDCB7P38BTZ4ACVDP6P0XN,2026-01-20T19:36:39.509526342Z,false,2026-01-20T19:36:39.509526342Z,01KFEDCB86CRTSSJ6JG7B2HS7E,2026-01-20T19:36:39.509526342Z,2,2026-01-20T19:36:39.509526342Z,2,2026-01-20T19:36:39.509526342Z,2,2026-01-20T19:36:39.572883071Z,false,2026-01-20T19:36:39.509526342Z
01KFEHF2TAP9NM8QW80A1YV23P,01KFEDC9EK94N2WNCHE5RRQHCJ,2026-01-20T20:27:46.378856669Z,true,2026-01-20T20:28:15.347151018Z,01KFEDC9FGZ2QQQ39YDAAVXSM4,2026-01-20T20:27:46.378856669Z,0,2026-01-20T20:27:46.378856669Z,0,2026-01-20T20:27:46.378856669Z,2,2026-01-20T20:27:46.54113967Z,true,2026-01-20T20:27:47.345977034Z
01KFEJ8ZBNR2A8JDGBQTM1B6HD,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:41:54.806008392Z,false,2026-01-20T20:41:54.806008392Z,01KFEHAKM9HA0G83B6BNP2KSMS,2026-01-20T20:41:54.806008392Z,8,2026-01-20T20:41:54.806008392Z,8,2026-01-20T20:41:54.806008392Z,2,2026-01-20T20:41:55.405718275Z,false,2026-01-20T20:41:54.806008392Z
01KFEJBBTZ1JJAWXJD9N3E2NJF,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:43:13.119242662Z,true,2026-01-20T20:48:47.50412115Z,01KFEHAM45R1366856G6A2WGHZ,2026-01-20T20:43:13.119242662Z,12,2026-01-20T20:43:13.119242662Z,12,2026-01-20T20:43:13.119242662Z,2,2026-01-20T20:43:13.986793536Z,true,2026-01-20T20:48:20.490281016Z
01KFEJMAYF2968VWRA6XN1XBDK,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:48:07.119987431Z,true,2026-01-20T20:52:52.938535087Z,01KFEHAMATV7GY0NQF17M2P0MD,2026-01-20T20:48:07.119987431Z,6,2026-01-20T20:48:07.119987431Z,6,2026-01-20T20:48:07.119987431Z,2,2026-01-20T20:48:07.744601512Z,true,2026-01-20T20:52:41.331385719Z
01KFEJAMBN3CDE0SNTE155CEVQ,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:42:49.077054201Z,false,2026-01-20T20:42:49.077054201Z,01KFEHAKM3JNAB6T75AF59R2WG,2026-01-20T20:42:49.077054201Z,7,2026-01-20T20:42:49.077054201Z,7,2026-01-20T20:42:49.077054201Z,2,2026-01-20T20:42:49.571715374Z,false,2026-01-20T20:42:49.077054201Z
01KFEJH2WQEPJ8DG2Q9Z2CDSV2,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:46:20.567991756Z,false,2026-01-20T20:46:20.567991756Z,01KFEHAKMHNYFE3MQRK8FHXJ0Z,2026-01-20T20:46:20.567991756Z,5,2026-01-20T20:46:20.567991756Z,5,2026-01-20T20:46:20.567991756Z,2,2026-01-20T20:46:21.092767007Z,false,2026-01-20T20:46:20.567991756Z
