id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KFEKHXM311HQGFD661SJP659,2,2026-01-20T21:22:32.881474934Z,01KFEKHPGYTA3NV92JW708KDS3,2026-01-20T21:04:16.515781745Z,true,2026-01-20T21:29:49.209938926Z,disconnected,2026-01-20T21:29:48.910971563Z,01KFEKJ2ECRVN9TPK6A0A6AKH7,2026-01-20T21:04:21.458160782Z,01KFEMKCB9H4HF05JPW00SJGW6,2026-01-20T21:22:32.948500123Z,12,2026-01-20T21:22:34.158996134Z,null,2026-01-20T21:29:49.209938926Z,true,2026-01-20T21:22:32.881474934Z,true,2026-01-20T21:22:32.881474934Z,ended,2026-01-20T21:29:48.910971563Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:16.515781745Z,CG_selfish,2026-01-20T21:04:16.515781745Z
01KFEHAM45R1366856G6A2WGHZ,2,2026-01-20T20:43:12.856949452Z,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:25:20.261163434Z,true,2026-01-20T20:48:47.556737183Z,end of game,2026-01-20T20:48:47.605164301Z,01KFEHAM76370SGZXKGQVKPH2R,2026-01-20T20:25:20.361654817Z,01KFEJB7QFQ5GMC9CP4R35WE5E,2026-01-20T20:43:08.918378256Z,12,2026-01-20T20:43:12.97426065Z,null,2026-01-20T20:48:47.556737183Z,true,2026-01-20T20:43:12.856949452Z,true,2026-01-20T20:43:12.856949452Z,ended,2026-01-20T20:48:47.605164301Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:25:20.261163434Z,noCG_cooperate,2026-01-20T20:25:20.261163434Z
01KFEJ5D5EZSQZ1FHTABW8Z6HQ,2,2026-01-20T21:03:56.970461969Z,01KFEJ5D47V2DPV4P7KW69CWA7,2026-01-20T20:39:57.870560881Z,true,2026-01-20T21:10:33.619854674Z,end of game,2026-01-20T21:10:33.762561197Z,01KFEJ5D8YPC3AZW0V6G6SRMDX,2026-01-20T20:39:57.986493922Z,01KFEK9XCJSJA2V8YSQCV3JDG7,2026-01-20T20:59:54.139909635Z,12,2026-01-20T21:03:57.447606246Z,null,2026-01-20T21:10:33.619854674Z,true,2026-01-20T21:03:56.970461969Z,true,2026-01-20T21:03:56.970461969Z,ended,2026-01-20T21:10:33.762561197Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:57.870560881Z,CG_cooperate,2026-01-20T20:39:57.870560881Z
01KFEJ5EAZECMGYE1T0RJ8FRC5,2,2026-01-20T21:06:04.637034789Z,01KFEJ5E832Q64ZNG3ZKPXGHJ5,2026-01-20T20:39:59.071676527Z,true,2026-01-20T21:06:29.059006697Z,disconnected,2026-01-20T21:06:28.542775156Z,01KFEJ5EP71RQ6WCZ2XZE7AWRS,2026-01-20T20:39:59.434567203Z,01KFEKMT5YFR7E81MYC05S8ZG4,2026-01-20T21:05:51.308775631Z,12,2026-01-20T21:06:05.416310749Z,null,2026-01-20T21:06:29.059006697Z,true,2026-01-20T21:06:04.637034789Z,true,2026-01-20T21:06:04.637034789Z,ended,2026-01-20T21:06:28.542775156Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:59.071676527Z,noCG_cooperate,2026-01-20T20:39:59.071676527Z
01KFEKHW3K0MKRMNBHCXMKRP1H,2,2026-01-20T21:13:57.764803964Z,01KFEKHP5PHVKCA3W59M54X4HD,2026-01-20T21:04:14.963644259Z,true,2026-01-20T21:15:41.014302967Z,disconnected,2026-01-20T21:15:40.819494615Z,01KFEKJ0KF0CE0TNT5F1NA6302,2026-01-20T21:04:19.577323114Z,01KFEM0RZMKMJKP8DK6ZQZ7S3W,2026-01-20T21:12:23.29374361Z,12,2026-01-20T21:13:58.466834211Z,null,2026-01-20T21:15:41.014302967Z,true,2026-01-20T21:13:57.764803964Z,true,2026-01-20T21:13:57.764803964Z,ended,2026-01-20T21:15:40.819494615Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:14.963644259Z,CG_selfish,2026-01-20T21:04:14.963644259Z
01KFEKHY7CSHQD9D28VJYVHYAG,2,2026-01-20T21:09:00.116907169Z,01KFEKHPNF8Z2VV0G8FN5RQ3SV,2026-01-20T21:04:17.132995408Z,true,2026-01-20T21:13:01.382671241Z,disconnected,2026-01-20T21:13:01.143896548Z,01KFEKJ38HCA8773BZ4QEGX28S,2026-01-20T21:04:22.298820928Z,01KFEKSAS9T1V04XQS7FC3M6HP,2026-01-20T21:08:19.378440773Z,12,2026-01-20T21:09:00.933477555Z,null,2026-01-20T21:13:01.382671241Z,true,2026-01-20T21:09:00.116907169Z,true,2026-01-20T21:09:00.116907169Z,ended,2026-01-20T21:13:01.143896548Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:17.132995408Z,noCG_cooperate,2026-01-20T21:04:17.132995408Z
01KFEKHZKRT77TCYW9QR636P3H,2,2026-01-20T21:31:46.970794698Z,01KFEKHQDC2K693XFM5ANS8DHE,2026-01-20T21:04:18.55290609Z,true,2026-01-20T21:37:26.079916151Z,end of game,2026-01-20T21:37:41.045539282Z,01KFEKJ89C5Q5XZZHG7S2FNW6F,2026-01-20T21:04:27.445829396Z,01KFEN459ESJM9EWKHV7KTM8EB,2026-01-20T21:31:42.779308161Z,12,2026-01-20T21:31:48.655931547Z,null,2026-01-20T21:37:26.079916151Z,true,2026-01-20T21:31:46.970794698Z,true,2026-01-20T21:31:46.970794698Z,ended,2026-01-20T21:37:41.045539282Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:18.55290609Z,noCG_cooperate,2026-01-20T21:04:18.55290609Z
01KFEMKRPZYJF164H4WPC91Z5Y,,,01KFEMKF0GR6CF0MEQZS4M5Z1Y,2026-01-20T21:22:45.59951842Z,false,2026-01-20T21:22:45.59951842Z,,,01KFEMM2KHVYR75ZRGZ0D0Y633,2026-01-20T21:22:55.743291202Z,,,,,,,false,2026-01-20T21:22:45.59951842Z,,,,,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T21:22:45.59951842Z,CG_selfish,2026-01-20T21:22:45.59951842Z
01KFEHAKXRHSJ1AHAHDK0DQA4P,2,2026-01-20T20:42:25.711403333Z,01KFEHAKWNS08RQENHQ36ND5GA,2026-01-20T20:25:20.056874209Z,true,2026-01-20T20:45:05.292328882Z,disconnected,2026-01-20T20:45:05.022690967Z,01KFEHAM1YAZ12YCGACMJVMV1H,2026-01-20T20:25:20.193377207Z,01KFEJ9B9VNFKKF2HVGRVE7DS8,2026-01-20T20:42:07.041233868Z,12,2026-01-20T20:42:25.841659827Z,null,2026-01-20T20:45:05.292328882Z,true,2026-01-20T20:42:25.711403333Z,true,2026-01-20T20:42:25.711403333Z,ended,2026-01-20T20:45:05.022690967Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:25:20.056874209Z,noCG_cooperate,2026-01-20T20:25:20.056874209Z
01KFEKHZBEEPDRHKRQPWCS3SGH,2,2026-01-20T21:27:10.802587023Z,01KFEKHQ6RN01KDJ4QSDZAWPPS,2026-01-20T21:04:18.286258983Z,true,2026-01-20T21:34:53.669445523Z,end of game,2026-01-20T21:34:53.863934012Z,01KFEKJ7E9231XC86BVFXAB1RB,2026-01-20T21:04:26.580067641Z,01KFEMVCZP4H9Z7NJGQK5E9H8Y,2026-01-20T21:26:55.756578925Z,12,2026-01-20T21:27:11.317969316Z,null,2026-01-20T21:34:53.669445523Z,true,2026-01-20T21:27:10.802587023Z,true,2026-01-20T21:27:10.802587023Z,ended,2026-01-20T21:34:53.863934012Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:18.286258983Z,CG_selfish,2026-01-20T21:04:18.286258983Z
