id,batchID,batchIDLastChangedAt,costCorrect,costCorrectLastChangedAt,gameID,gameIDLastChangedAt,myGain,myGainLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KFEJX297EPC706KT372BAMDY,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:52:53.159737544Z,,,01KFEHAMATV7GY0NQF17M2P0MD,2026-01-20T20:52:53.159737544Z,,,01KFEJ9C86SAQ3FA5GXN0A1JWJ,2026-01-20T20:52:53.159737544Z,01KFEJMAZ44W2083YCNY9RPGZZ,2026-01-20T20:52:53.159737544Z,01KFEJMBJYRS9EC4TFN2S6SEY2,2026-01-20T20:52:53.159737544Z,true,2026-01-20T20:52:57.677307587Z
01KFEEQCK2GMT768VGYKQ3NS5N,01KFEDCCAW3ZY6KSKNHTKZ971F,2026-01-20T19:39:52.802329601Z,,,01KFEDCCBE716PRHN8QE61SVB8,2026-01-20T19:39:52.802329601Z,,,01KFEEG0PTYT0JCF1TH4XV2NVW,2026-01-20T19:39:52.802329601Z,01KFEEQBN4E2R28M0ZNGJJYBBG,2026-01-20T19:39:52.802329601Z,01KFEEQBPWMY8Y03191X80AQM8,2026-01-20T19:39:52.802329601Z,true,2026-01-20T19:39:59.765648091Z
01KFEJAYXNF4Y7745Q00ASSB25,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:42:59.893442716Z,,,01KFEHAKMDAJRN7M0QA4VDJCGY,2026-01-20T20:42:59.893442716Z,,,01KFEHW86W3STHQPDAT1BP1CXX,2026-01-20T20:42:59.893442716Z,01KFEJ2SKT7SSSFTRMDES65P9G,2026-01-20T20:42:59.893442716Z,01KFEJ2T2QXKHCWFPN6C4SZT1N,2026-01-20T20:42:59.893442716Z,true,2026-01-20T20:43:04.281214164Z
01KFEM8VCK19MHMAVPQFAB5813,01KFEKHPC1MSE3FJ7DBY2FGY2F,2026-01-20T21:16:47.892024229Z,,,01KFEKHX1P9ZX6RDK1X5H16NSJ,2026-01-20T21:16:47.892024229Z,,,01KFEM2T8WXSZ319Y9Z8V488ZY,2026-01-20T21:16:47.892024229Z,01KFEM6CEYJKT4VNR0ZSZQ3ZZP,2026-01-20T21:16:47.892024229Z,01KFEM6DB71J1FS30B16MG8EBZ,2026-01-20T21:16:47.892024229Z,true,2026-01-20T21:16:51.082062121Z
01KFEJ33S9ZJDQNE348B2F8XKM,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:38:42.729598684Z,,,01KFEHA1ZSVYK8DGYZZSV53FQM,2026-01-20T20:38:42.729598684Z,,,01KFEHKWX6S3CRVA3YVBJBPSWT,2026-01-20T20:38:42.729598684Z,01KFEHWYXN0B7KTJV0CTBC7BQ0,2026-01-20T20:38:42.729598684Z,01KFEHWZBS5VKR18RMRF0ERF62,2026-01-20T20:38:42.729598684Z,true,2026-01-20T20:38:48.275471956Z
01KFEJYFW8SK1Q46YA0QR3V2M1,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:53:39.848339455Z,,,01KFEJ5DPFFD934S0E2GQ1B9RR,2026-01-20T20:53:39.848339455Z,,,01KFEJPRKV9117XEB7P0YJ5NT5,2026-01-20T20:53:39.848339455Z,01KFEJVCW65HVMYHW7QV8FF1JQ,2026-01-20T20:53:39.848339455Z,01KFEJVDFGDJGSQJYS0F9TXCC6,2026-01-20T20:53:39.848339455Z,true,2026-01-20T20:53:41.004392323Z
01KFEKVQXN1Y9T7GJX8K4DA47T,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T21:09:38.357585228Z,false,2026-01-20T21:10:01.708739591Z,01KFEJ5DNSX5Y5MH73PBQYYZM3,2026-01-20T21:09:38.357585228Z,9,2026-01-20T21:10:01.001555008Z,01KFEKH56QYDWDZ627S51E8JZX,2026-01-20T21:09:38.357585228Z,01KFEKMQXAGJYMTYR6Y93FTQC5,2026-01-20T21:09:38.357585228Z,01KFEKMRVYB3X3ZJET16NCREPX,2026-01-20T21:09:38.357585228Z,true,2026-01-20T21:10:04.720973938Z
01KFEN1WZZ1XQB592QJYDKZF0S,01KFEKP90DN3N51AVE1856PVFP,2026-01-20T21:30:28.735184756Z,,,01KFEKPARRGKN060WSHP4MXPVN,2026-01-20T21:30:28.735184756Z,,,01KFEMCK5PSCC7SW5H7XYEWC3R,2026-01-20T21:30:28.735184756Z,01KFEMJWZ23H646PAR8DG0ER3K,2026-01-20T21:30:28.735184756Z,01KFEMJZPH3KKF3BWX6W9FDA0J,2026-01-20T21:30:28.735184756Z,true,2026-01-20T21:30:38.943291839Z
01KFEFG787WW7V0DPJYC6YK0GA,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:53:26.5357599Z,true,2026-01-20T19:53:35.601847479Z,01KFEDCCHH44R979H37GT2B68J,2026-01-20T19:53:26.5357599Z,20,2026-01-20T19:53:34.556740168Z,01KFEFADJR1SXTG9225WD5SFVJ,2026-01-20T19:53:26.5357599Z,01KFEFDZE1A8QQADXM9W59N9MY,2026-01-20T19:53:26.5357599Z,01KFEFDZHBN6JGN8NZCQB6KQ8F,2026-01-20T19:53:26.5357599Z,true,2026-01-20T19:53:38.597598212Z
01KFEFJE59V54SRDBCD76YXFJZ,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:54:39.145696814Z,true,2026-01-20T19:54:55.251674545Z,01KFEDCCHGZS8158VZSSNCZZHP,2026-01-20T19:54:39.145696814Z,0,2026-01-20T19:54:54.294512817Z,01KFEEV98ZBZT7VKKTGE1Q7XAV,2026-01-20T19:54:39.145696814Z,01KFEFDRSM08QE71XQ680125TF,2026-01-20T19:54:39.145696814Z,01KFEFDRY1TNNS6EZNQNW3Q838,2026-01-20T19:54:39.145696814Z,true,2026-01-20T19:54:58.315060047Z
01KFEFKW67ZWKP431EVKDF3BQ5,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:55:26.279772436Z,,,01KFEDCCHGZS8158VZSSNCZZHP,2026-01-20T19:55:26.279772436Z,,,01KFEEX55YZNT0B1JFXGKDFM2N,2026-01-20T19:55:26.279772436Z,01KFEFDRSXA12SKVX8F6JTNMGJ,2026-01-20T19:55:26.279772436Z,01KFEFDS1FRC1SXRWTZXV70W0T,2026-01-20T19:55:26.279772436Z,,
01KFENNBQXN1E16KZ93XE7CKAY,01KFEKP8JTD09P5KZK5HC45AYH,2026-01-20T21:41:06.429765916Z,,,01KFEKP8SWACZ78Z101DJZ9YZX,2026-01-20T21:41:06.429765916Z,,,01KFEN1V09JT6DJQFTMJT9XVS1,2026-01-20T21:41:06.429765916Z,01KFENEFPYNYNAW5YZ9561CVFT,2026-01-20T21:41:06.429765916Z,01KFENEJ9NJGHDTB3BYW38ADE4,2026-01-20T21:41:06.429765916Z,true,2026-01-20T21:41:10.88778358Z
01KFEE2GE74CWAVJ1DE22XQM13,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:28:28.615154171Z,,,01KFEDCB197E7YMN5STVXKHS22,2026-01-20T19:28:28.615154171Z,,,01KFEDRBWHPV4A332ZXM2PZSR4,2026-01-20T19:28:28.615154171Z,01KFEE2FBRH662A71HSKV4RA79,2026-01-20T19:28:28.615154171Z,01KFEE2FD0RH3FK90ZN93X9S8J,2026-01-20T19:28:28.615154171Z,true,2026-01-20T19:28:36.414855316Z
01KFEFGN322BKQA69MMWCMZPSP,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:53:40.706724862Z,,,01KFEDCCHGZS8158VZSSNCZZHP,2026-01-20T19:53:40.706724862Z,,,01KFEEX55YZNT0B1JFXGKDFM2N,2026-01-20T19:53:40.706724862Z,01KFEFDRRZZXXYV21T9SKJ1JF9,2026-01-20T19:53:40.706724862Z,01KFEFDRVPN6MQJFWFRJGFY4BB,2026-01-20T19:53:40.706724862Z,true,2026-01-20T19:53:45.077445867Z
01KFEMZ99Q0GWJX92PHVC61SCW,01KFEKP9631FDC5MHAJ7BGRGH7,2026-01-20T21:29:03.031765072Z,,,01KFEKPB2MD43HRXJ5S36AZP95,2026-01-20T21:29:03.031765072Z,,,01KFEMBNJZT4WFKT0SV2QH9MSW,2026-01-20T21:29:03.031765072Z,01KFEMMYFMYC24XYVAJTJN1EZM,2026-01-20T21:29:03.031765072Z,01KFEMN0WV918GPVXJD8K1XNBE,2026-01-20T21:29:03.031765072Z,true,2026-01-20T21:29:05.77104041Z
01KFEKYPW52AEZH90Q6E6K88KJ,01KFEKHPC1MSE3FJ7DBY2FGY2F,2026-01-20T21:11:15.589256521Z,,,01KFEKHX2RB171QB64SDRQQFHC,2026-01-20T21:11:15.589256521Z,,,01KFEKMQJYX5BJJG3C1JG69E20,2026-01-20T21:11:15.589256521Z,01KFEKRH1BCGQG6GQXYZ4B2D2V,2026-01-20T21:11:15.589256521Z,01KFEKRJR2GTJDH258BHPXBJNQ,2026-01-20T21:11:15.589256521Z,true,2026-01-20T21:11:18.479048329Z
01KFEMP1GG3Z0Y0N7Q3NZVV720,01KFEKHPXA861Q1DG96X1DM2E6,2026-01-20T21:24:00.144943791Z,,,01KFEKHYKRKMA9DTBDYP3QJATY,2026-01-20T21:24:00.144943791Z,,,01KFEM9TV6B3M5B03W44Y3RT1G,2026-01-20T21:24:00.144943791Z,01KFEMEF16PBTZSTPF4PGD5X6X,2026-01-20T21:24:00.144943791Z,01KFEMEGJ65X5AA70N9ZMDKGWG,2026-01-20T21:24:00.144943791Z,,
01KFEJ94QM4R6PR3PB2GFXT2P2,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:42:00.308470862Z,,,01KFEHA25S6PYJD4DSX1VJG5FE,2026-01-20T20:42:00.308470862Z,,,01KFEHWFN7B5ZY9MX1Q0P1B17R,2026-01-20T20:42:00.308470862Z,01KFEJ3HR03D88K3E0A8S0SB8Q,2026-01-20T20:42:00.308470862Z,01KFEJ3J4X5GX9ZZRQ0N0C9DSA,2026-01-20T20:42:00.308470862Z,true,2026-01-20T20:42:30.611834198Z
01KFEJS0K8GN6QX6JRDMAAC8J9,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:50:40.360710166Z,true,2026-01-20T20:51:03.679063658Z,01KFEJ5C9TA7ZE3V3TA0C9309P,2026-01-20T20:50:40.360710166Z,10,2026-01-20T20:50:59.03364385Z,01KFEJDWT7HF2D6BRNBHS3X5TT,2026-01-20T20:50:40.360710166Z,01KFEJR9Z1MNVZ7NP9YB2P748Q,2026-01-20T20:50:40.360710166Z,01KFEJRA91B76QK9CR6EA6BNXZ,2026-01-20T20:50:40.360710166Z,true,2026-01-20T20:51:06.681088033Z
01KFEJYMGPZM66B6AZCCGC1A2N,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:53:44.598612307Z,true,2026-01-20T20:53:59.975954345Z,01KFEHAM4AZFDTAG8DR1VA4141,2026-01-20T20:53:44.598612307Z,19,2026-01-20T20:53:57.33187826Z,01KFEJAS01H74KYS8N629S6DTN,2026-01-20T20:53:44.598612307Z,01KFEJMJVVAZSJ9NF02S13FWBY,2026-01-20T20:53:44.598612307Z,01KFEJMKSXKG9SCS167NNMHENM,2026-01-20T20:53:44.598612307Z,true,2026-01-20T20:54:02.975875633Z
01KFEKX67PK1MFBTBMJES56KPM,01KFEKHPGYTA3NV92JW708KDS3,2026-01-20T21:10:25.782921788Z,,,01KFEKHXG0QSJ727TF9BK0CVWT,2026-01-20T21:10:25.782921788Z,,,01KFEKHMBXJQ8V8MN80AG07QXK,2026-01-20T21:10:25.782921788Z,01KFEKRY8EJDVP4BE9K4MR0ZPK,2026-01-20T21:10:25.782921788Z,01KFEKRZQHXHN5C1RNTF30ZJTY,2026-01-20T21:10:25.782921788Z,true,2026-01-20T21:10:27.245316005Z
01KFEN2H2Z9T2F0ZPND74DTV92,01KFEKP90DN3N51AVE1856PVFP,2026-01-20T21:30:49.312006778Z,,,01KFEKPARRGKN060WSHP4MXPVN,2026-01-20T21:30:49.312006778Z,,,01KFEMCK5PSCC7SW5H7XYEWC3R,2026-01-20T21:30:49.312006778Z,01KFEMJX12DBM068Z14CWP2KX7,2026-01-20T21:30:49.312006778Z,01KFEMJZWC4FD1WW3MH7DGYJP2,2026-01-20T21:30:49.312006778Z,true,2026-01-20T21:30:59.948877308Z
