id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KFEWGNR3TDDXD1EVYSZ9PRZ4,01KFEVMNNQTH6Q6DMJG65NFGVF,2026-01-20T23:40:52.867328451Z,30,2026-01-20T23:40:52.867328451Z,false,2026-01-20T23:40:52.867328451Z,01KFEVMNQ7WSYMPADRKJJ7K0T0,2026-01-20T23:40:52.867328451Z,1,2026-01-20T23:40:52.867328451Z,,,result,2026-01-20T23:40:52.867328451Z,01KFEWGNAQ4TMWRAWG8C2WGEQ5,2026-01-20T23:40:52.867328451Z,false,2026-01-20T23:40:52.867328451Z,,,01KFEWGNQKMESEYR6HMF9082CJ,2026-01-20T23:40:52.867328451Z
01KFEW2AHYRBBYE7FBZ4QFNBD7,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:33:02.65417579Z,30,2026-01-20T23:33:02.65417579Z,true,2026-01-20T23:36:55.076764636Z,01KFEV38AHTHHCNTDGHAJN0GXG,2026-01-20T23:33:02.65417579Z,1,2026-01-20T23:33:02.65417579Z,true,2026-01-20T23:36:40.9194062Z,result,2026-01-20T23:33:02.65417579Z,01KFEW29ZYEEN9EXZHWPRR43NM,2026-01-20T23:33:02.65417579Z,true,2026-01-20T23:36:40.867540469Z,true,2026-01-20T23:36:40.94847259Z,01KFEW2AHMRH1NQT4YMTQXVX1S,2026-01-20T23:33:02.65417579Z
01KFEWF056QZZ7TAQ2D4Z733J2,01KFEVMNF44NEM58ETFST7KTWM,2026-01-20T23:39:57.990129095Z,90,2026-01-20T23:39:57.990129095Z,true,2026-01-20T23:41:17.405223135Z,01KFEVMNHFNDCGHX9QBBFN387E,2026-01-20T23:39:57.990129095Z,0,2026-01-20T23:39:57.990129095Z,true,2026-01-20T23:41:12.875120781Z,choice,2026-01-20T23:39:57.990129095Z,01KFEWEZX1QCKQJZPSQCFEKWPP,2026-01-20T23:39:57.990129095Z,true,2026-01-20T23:41:12.828355695Z,true,2026-01-20T23:41:12.911763488Z,01KFEWF04VAJCR763EDG5XCNZ5,2026-01-20T23:39:57.990129095Z
01KFEWVN052TD4Y0H4YSKX8SCG,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:46:52.549565722Z,30,2026-01-20T23:46:52.549565722Z,false,2026-01-20T23:46:52.549565722Z,01KFEV38H0S2Y42XZDBCZ2KPGY,2026-01-20T23:46:52.549565722Z,1,2026-01-20T23:46:52.549565722Z,,,result,2026-01-20T23:46:52.549565722Z,01KFEWVM9PT51YW4VST0CM6RSJ,2026-01-20T23:46:52.549565722Z,false,2026-01-20T23:46:52.549565722Z,,,01KFEWVMZHYWTT9FRQWQ0ZWQBQ,2026-01-20T23:46:52.549565722Z
01KFEVFBH03ZAQZQH9CZ0080HR,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:22:41.056630738Z,90,2026-01-20T23:22:41.056630738Z,true,2026-01-20T23:24:50.248100834Z,01KFEV378H0PY96RNMJTMM0E4X,2026-01-20T23:22:41.056630738Z,0,2026-01-20T23:22:41.056630738Z,true,2026-01-20T23:24:41.131488566Z,choice,2026-01-20T23:22:41.056630738Z,01KFEVFBC3KKXJSC7MKW9KR59A,2026-01-20T23:22:41.056630738Z,true,2026-01-20T23:24:41.08662995Z,true,2026-01-20T23:24:41.157231586Z,01KFEVFBGWJQ2PMWWVPJWSGZND,2026-01-20T23:22:41.056630738Z
01KFEVHAQEKP16HBBAGW5FF6ZD,01KFEV384BJYC62Y0E6AQK09K8,2026-01-20T23:23:45.77432875Z,90,2026-01-20T23:23:45.77432875Z,true,2026-01-20T23:23:54.854299687Z,01KFEV384Y33BFECW27AH8GSGD,2026-01-20T23:23:45.77432875Z,0,2026-01-20T23:23:45.77432875Z,true,2026-01-20T23:23:47.018087432Z,choice,2026-01-20T23:23:45.77432875Z,01KFEVHAPAY4FNYD6E80QRSW86,2026-01-20T23:23:45.77432875Z,true,2026-01-20T23:23:46.997589511Z,true,2026-01-20T23:23:47.031846609Z,01KFEVHAQ99344J2HP5F7P95D1,2026-01-20T23:23:45.77432875Z
01KFEVKCST73KK8CVPG52VBNWN,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:24:53.434203774Z,90,2026-01-20T23:24:53.434203774Z,true,2026-01-20T23:26:53.91581778Z,01KFEV37PYV9HETXX2PSGE1RKD,2026-01-20T23:24:53.434203774Z,0,2026-01-20T23:24:53.434203774Z,true,2026-01-20T23:26:45.76554899Z,choice,2026-01-20T23:24:53.434203774Z,01KFEVKCN4ZM7M5WXWCANY7678,2026-01-20T23:24:53.434203774Z,true,2026-01-20T23:26:45.739720311Z,true,2026-01-20T23:26:45.789169006Z,01KFEVKCSNAD0QBTGF6D2XRWP6,2026-01-20T23:24:53.434203774Z
01KFEVPNTFR6X4VNRFD3WW0182,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:26:40.975469243Z,90,2026-01-20T23:26:40.975469243Z,true,2026-01-20T23:29:11.615579851Z,01KFEVMNB841AFDZFM4WSW4FTD,2026-01-20T23:26:40.975469243Z,0,2026-01-20T23:26:40.975469243Z,true,2026-01-20T23:29:06.531115173Z,choice,2026-01-20T23:26:40.975469243Z,01KFEVPNH13GY2X6WR8TVJ5EYS,2026-01-20T23:26:40.975469243Z,true,2026-01-20T23:29:06.502856018Z,true,2026-01-20T23:29:06.556214368Z,01KFEVPNT8WJH7D8Y1CG7JWW7D,2026-01-20T23:26:40.975469243Z
01KFEVS3C9FB98ZMT71Z559YYZ,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:28:00.393827434Z,30,2026-01-20T23:28:00.393827434Z,false,2026-01-20T23:28:00.393827434Z,01KFEV37PV76WD06T50QFKE80T,2026-01-20T23:28:00.393827434Z,1,2026-01-20T23:28:00.393827434Z,,,result,2026-01-20T23:28:00.393827434Z,01KFEVS30HWX3TCPK54FFTBPR0,2026-01-20T23:28:00.393827434Z,false,2026-01-20T23:28:00.393827434Z,,,01KFEVS3C1SAX7XR829KR1T3BB,2026-01-20T23:28:00.393827434Z
01KFEVS3DAESW4HMTY8TEDSXWZ,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:28:00.427008914Z,30,2026-01-20T23:28:00.427008914Z,false,2026-01-20T23:28:00.427008914Z,01KFEV37PV76WD06T50QFKE80T,2026-01-20T23:28:00.427008914Z,1,2026-01-20T23:28:00.427008914Z,,,result,2026-01-20T23:28:00.427008914Z,01KFEVS30PRA606QWJF19RYJ80,2026-01-20T23:28:00.427008914Z,false,2026-01-20T23:28:00.427008914Z,,,01KFEVS3D2A6SYY0FQSFXMG6MJ,2026-01-20T23:28:00.427008914Z
