"id","actualPlayerCount","actualPlayerCountLastChangedAt","batchID","batchIDLastChangedAt","ended","endedLastChangedAt","endedReason","endedReasonLastChangedAt","groupID","groupIDLastChangedAt","lobbyTimerID","lobbyTimerIDLastChangedAt","roundIndex","roundIndexLastChangedAt","stageID","stageIDLastChangedAt","start","startLastChangedAt","starting","startingLastChangedAt","status","statusLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt"
"01KFEDCAVZJC7DD4AH1B24TEC6",2,"2026-01-20T19:56:20.232796101Z","01KFEDCAVEZK3QD8ZFC2PP83WE","2026-01-20T19:16:22.015637353Z","true","2026-01-20T20:00:47.36741438Z","end of game","2026-01-20T20:00:47.389832733Z","01KFEDCAXNG8RE00X7JPWTTB9G","2026-01-20T19:16:22.071349293Z","01KFEFG4ESQRZPS722R40GF0VC","2026-01-20T19:53:23.677608638Z",12,"2026-01-20T19:56:20.300899884Z","null","2026-01-20T20:00:47.36741438Z","true","2026-01-20T19:56:20.232796101Z","true","2026-01-20T19:56:20.232796101Z","ended","2026-01-20T20:00:47.389832733Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:22.015637353Z","noCG_cooperate","2026-01-20T19:16:22.015637353Z"
"01KFEDCB85NRAF0XG25ABR62N5",2,"2026-01-20T19:33:46.29336445Z","01KFEDCB7P38BTZ4ACVDP6P0XN","2026-01-20T19:16:22.405325832Z","true","2026-01-20T19:37:43.46732099Z","end of game","2026-01-20T19:37:43.479197038Z","01KFEDCB9F0V891FH3WQ1XMPS7","2026-01-20T19:16:22.473194409Z","01KFEEC2CSHS878Y7AHK2HWJM9","2026-01-20T19:33:41.919585446Z",12,"2026-01-20T19:33:46.352693913Z","null","2026-01-20T19:37:43.46732099Z","true","2026-01-20T19:33:46.29336445Z","true","2026-01-20T19:33:46.29336445Z","ended","2026-01-20T19:37:43.479197038Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:22.405325832Z","noCG_selfish","2026-01-20T19:16:22.405325832Z"
"01KFEDCCBDJ82W4YK2PN7VDTAX",2,"2026-01-20T19:34:53.148677023Z","01KFEDCCAW3ZY6KSKNHTKZ971F","2026-01-20T19:16:23.53362164Z","true","2026-01-20T19:39:56.077985911Z","end of game","2026-01-20T19:39:56.091432298Z","01KFEDCCCTWBDENFPJMCA6WR5V","2026-01-20T19:16:23.581454297Z","01KFEEDKK4VD278DZ9P06BABTA","2026-01-20T19:34:32.298782458Z",12,"2026-01-20T19:34:53.18934265Z","null","2026-01-20T19:39:56.077985911Z","true","2026-01-20T19:34:53.148677023Z","true","2026-01-20T19:34:53.148677023Z","ended","2026-01-20T19:39:56.091432298Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:23.53362164Z","noCG_selfish","2026-01-20T19:16:23.53362164Z"
"01KFEHA1QDYX27N1S60Z95NKD9",2,"2026-01-20T20:32:31.125280609Z","01KFEHA1MRJDJA6FNTED28Z8HF","2026-01-20T20:25:01.421694496Z","true","2026-01-20T20:35:49.782299545Z","end of game","2026-01-20T20:35:49.809394638Z","01KFEHA1SSQXYAEPWDAH5KSPAA","2026-01-20T20:25:01.499531279Z","01KFEHQ2AG04EPK4H34YZH6W69","2026-01-20T20:32:08.02239884Z",12,"2026-01-20T20:32:31.189109099Z","null","2026-01-20T20:35:49.782299545Z","true","2026-01-20T20:32:31.125280609Z","true","2026-01-20T20:32:31.125280609Z","ended","2026-01-20T20:35:49.809394638Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:01.421694496Z","CG_cooperate","2026-01-20T20:25:01.421694496Z"
"01KFEDCC2JDADMPT5RVP2N7S0X",2,"2026-01-20T19:26:36.596386527Z","01KFEDCC1ZHDDN3CP9JWF4PGTF","2026-01-20T19:16:23.25013837Z","true","2026-01-20T19:29:26.25734734Z","end of game","2026-01-20T19:29:26.268875982Z","01KFEDCC4KYG3E2R8C0EQQ564Z","2026-01-20T19:16:23.317432192Z","01KFEDSZ8BF4DHHP051XK0W78T","2026-01-20T19:23:48.88211344Z",12,"2026-01-20T19:26:36.634863417Z","null","2026-01-20T19:29:26.25734734Z","true","2026-01-20T19:26:36.596386527Z","true","2026-01-20T19:26:36.596386527Z","ended","2026-01-20T19:29:26.268875982Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:23.25013837Z","CG_selfish","2026-01-20T19:16:23.25013837Z"
"01KFEHA25NESP3C46R1STZWY67",2,"2026-01-20T20:29:13.67144798Z","01KFEHA20TFYVSSENV0N2723W5","2026-01-20T20:25:01.877389111Z","true","2026-01-20T20:31:17.71923203Z","end of game","2026-01-20T20:31:17.765918343Z","01KFEHA278WYB42J3B0SQG0P0Z","2026-01-20T20:25:01.93258728Z","01KFEHHQ89JVPNJRWX59KCCGZ3","2026-01-20T20:29:12.845780619Z",12,"2026-01-20T20:29:13.730867289Z","null","2026-01-20T20:31:17.71923203Z","true","2026-01-20T20:29:13.67144798Z","true","2026-01-20T20:29:13.67144798Z","ended","2026-01-20T20:31:17.765918343Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:01.877389111Z","noCG_selfish","2026-01-20T20:25:01.877389111Z"
"01KFEHAM4AZFDTAG8DR1VA4141",2,"2026-01-20T20:48:14.906455432Z","01KFEHAM0SBSN9QYCK4NGJTWCC","2026-01-20T20:25:20.266384879Z","true","2026-01-20T20:54:03.109687969Z","end of game","2026-01-20T20:54:03.163350649Z","01KFEHAM8SP0KJ2GV0BQKNYJGZ","2026-01-20T20:25:20.413422437Z","01KFEJJYJ194W1ZM2PN0MRE1YF","2026-01-20T20:47:21.675197143Z",12,"2026-01-20T20:48:15.245921656Z","null","2026-01-20T20:54:03.109687969Z","true","2026-01-20T20:48:14.906455432Z","true","2026-01-20T20:48:14.906455432Z","ended","2026-01-20T20:54:03.163350649Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:20.266384879Z","noCG_selfish","2026-01-20T20:25:20.266384879Z"
"01KFEJ5DPFFD934S0E2GQ1B9RR",2,"2026-01-20T20:51:58.068613189Z","01KFEJ5DKDD8ED3R70AXWWV7TA","2026-01-20T20:39:58.415393471Z","true","2026-01-20T20:54:39.827419326Z","end of game","2026-01-20T20:54:39.880237523Z","01KFEJ5DZH5SAPM4YPQJJDTZFD","2026-01-20T20:39:58.709437682Z","01KFEJTTQX4AE7JAMA1Q0NQ9FQ","2026-01-20T20:51:39.907462121Z",12,"2026-01-20T20:51:58.4095791Z","null","2026-01-20T20:54:39.827419326Z","true","2026-01-20T20:51:58.068613189Z","true","2026-01-20T20:51:58.068613189Z","ended","2026-01-20T20:54:39.880237523Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:39:58.415393471Z","noCG_selfish","2026-01-20T20:39:58.415393471Z"
"01KFEHAKMDAJRN7M0QA4VDJCGY",2,"2026-01-20T20:38:32.129357547Z","01KFEHAKK9QMW81MWT2FF1CSZA","2026-01-20T20:25:19.757875144Z","true","2026-01-20T20:44:01.489786554Z","end of game","2026-01-20T20:44:01.529818389Z","01KFEHAKS6FRKWSMEB2JHXKXQA","2026-01-20T20:25:19.912524095Z","01KFEJ01RWYP3CQ8752MB7WJHN","2026-01-20T20:37:02.369571556Z",12,"2026-01-20T20:38:32.223561112Z","null","2026-01-20T20:44:01.489786554Z","true","2026-01-20T20:38:32.129357547Z","true","2026-01-20T20:38:32.129357547Z","ended","2026-01-20T20:44:01.529818389Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:19.757875144Z","CG_selfish","2026-01-20T20:25:19.757875144Z"
"01KFEDC9FF7T49EPA99GZDGH84",2,"2026-01-20T19:53:21.819219944Z","01KFEDC9EK94N2WNCHE5RRQHCJ","2026-01-20T19:16:20.591467982Z","true","2026-01-20T19:57:03.128745241Z","end of game","2026-01-20T19:57:03.142725278Z","01KFEDC9JPDYCGZ1YAN4EWV7XR","2026-01-20T19:16:20.696297267Z","01KFEFG0PB7PSDS0AE0P46D9M1","2026-01-20T19:53:19.824121647Z",12,"2026-01-20T19:53:21.885667726Z","null","2026-01-20T19:57:03.128745241Z","true","2026-01-20T19:53:21.819219944Z","true","2026-01-20T19:53:21.819219944Z","ended","2026-01-20T19:57:03.142725278Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:20.591467982Z","CG_cooperate","2026-01-20T19:16:20.591467982Z"
