"id","batchID","batchIDLastChangedAt","bonus","bonusLastChangedAt","decision","decisionLastChangedAt","gameID","gameIDLastChangedAt","playerID","playerIDLastChangedAt","roundID","roundIDLastChangedAt"
"01KFEHT03YQTP44ZNN154PRKY9","01KFEHA1MRJDJA6FNTED28Z8HF","2026-01-20T20:33:44.062613662Z",7,"2026-01-20T20:33:49.961004746Z","D","2026-01-20T20:33:47.311407544Z","01KFEHA1QDYX27N1S60Z95NKD9","2026-01-20T20:33:44.062613662Z","01KFEHFDNYYM4VRPKVABD0N8W8","2026-01-20T20:33:44.062613662Z","01KFEHQRZ4TH1YS8B6ZSMB6BHH","2026-01-20T20:33:44.062613662Z"
"01KFEK4A8QAZTESTWMRMM2VCH7","01KFEJ5C7H3Z5SGPPT0TCGAEB2","2026-01-20T20:56:50.711764467Z",19,"2026-01-20T20:56:57.686493006Z","C","2026-01-20T20:56:57.117345165Z","01KFEJ5C9822567XDA8A9QG0G3","2026-01-20T20:56:50.711764467Z","01KFEJRM0CNFF8YTKCA6JC16CE","2026-01-20T20:56:50.711764467Z","01KFEK0Q0S4CP92BT63CJ2ZD34","2026-01-20T20:56:50.711764467Z"
"01KFEDZTVQ0F0CRXY509XKSCRN","01KFEDCC1ZHDDN3CP9JWF4PGTF","2026-01-20T19:27:00.983873589Z",29,"2026-01-20T19:27:02.712322369Z","C","2026-01-20T19:27:02.694961049Z","01KFEDCC2JDADMPT5RVZQ93BA8","2026-01-20T19:27:00.983873589Z","01KFEDNRR64JDCJYA79FBRE8X8","2026-01-20T19:27:00.983873589Z","01KFEDVKAZREJHWJYHVZEAH663","2026-01-20T19:27:00.983873589Z"
"01KFEHNBSR02VEHD8KN1MT8W90","01KFEHA1W0DBA89GCQ87GA4EG5","2026-01-20T20:31:12.184604091Z",29,"2026-01-20T20:31:13.480276003Z","C","2026-01-20T20:31:13.378050468Z","01KFEHA1ZNDEMMB0DK92YAW8BD","2026-01-20T20:31:12.184604091Z","01KFEHEBSJCV2WCY6FBMMN65A3","2026-01-20T20:31:12.184604091Z","01KFEHHMWHAX79VP1M4MVHPBRK","2026-01-20T20:31:12.184604091Z"
"01KFEHJQPABR2PFPA2TT4Q0ATZ","01KFEHA1MRJDJA6FNTED28Z8HF","2026-01-20T20:29:46.058933279Z",0,"2026-01-20T20:29:47.821820146Z","C","2026-01-20T20:29:47.798960419Z","01KFEHA1R32D8V3SKQA6BEDXA8","2026-01-20T20:29:46.058933279Z","01KFEHBPM0QM8692M9NW91QBAJ","2026-01-20T20:29:46.058933279Z","01KFEHGC81QFGYDYKZ0XSHC0NQ","2026-01-20T20:29:46.058933279Z"
"01KFEHVQFFSVH4Q8JZSEHP4SMJ","01KFEHA1EJWPRPNCXBTHCF12K2","2026-01-20T20:34:40.751143922Z",10,"2026-01-20T20:34:47.821872883Z","B","2026-01-20T20:34:47.788730362Z","01KFEHA1GPSKM8FTTA039GX2FE","2026-01-20T20:34:40.751143922Z","01KFEHGGC977SV7QXMD0KQJ3VM","2026-01-20T20:34:40.751143922Z","01KFEHRJXSRB7FPAJNWSY9X69Y","2026-01-20T20:34:40.751143922Z"
"01KFEJ7C85JCQ3D1B982ZMQD3W","01KFEHA20TFYVSSENV0N2723W5","2026-01-20T20:41:02.469186021Z",20,"2026-01-20T20:41:06.426452095Z","B","2026-01-20T20:41:06.380134209Z","01KFEHA25S6PYJD4DSX1VJG5FE","2026-01-20T20:41:02.469186021Z","01KFEHKBVRWD07VXT4ZKHQQAA6","2026-01-20T20:41:02.469186021Z","01KFEJ3HPZ91NMAPQ6MYD3EXAD","2026-01-20T20:41:02.469186021Z"
"01KFEJHCXKVFQS29GAAKRR3MYX","01KFEHAM0SBSN9QYCK4NGJTWCC","2026-01-20T20:46:30.835810326Z",10,"2026-01-20T20:46:34.074676394Z","B","2026-01-20T20:46:32.395200693Z","01KFEHAM3ZX2QFEZ4F28QFW79D","2026-01-20T20:46:30.835810326Z","01KFEJ99258GDSZYNA4N0ER3PR","2026-01-20T20:46:30.835810326Z","01KFEJDCR9ZKJQY4J73C03HWCS","2026-01-20T20:46:30.835810326Z"
"01KFEE0BAZAYHP5TVPQN2TBW23","01KFEDCC1ZHDDN3CP9JWF4PGTF","2026-01-20T19:27:17.855401229Z",0,"2026-01-20T19:27:25.16819722Z","C","2026-01-20T19:27:24.893577878Z","01KFEDCC2JDADMPT5RVP2N7S0X","2026-01-20T19:27:17.855401229Z","01KFEDQK6ZX4EYK4N5S5CFQ5FY","2026-01-20T19:27:17.855401229Z","01KFEDZ32KCEM7CMZ5B6NHATC7","2026-01-20T19:27:17.855401229Z"
"01KFEE357E16HHRCQRMS35J4MM","01KFEDCC1ZHDDN3CP9JWF4PGTF","2026-01-20T19:28:49.90261447Z",29,"2026-01-20T19:28:53.70611081Z","C","2026-01-20T19:28:52.509918955Z","01KFEDCC2JDADMPT5RVP2N7S0X","2026-01-20T19:28:49.90261447Z","01KFEDNQAB8C2AFG7D4ZXA4K64","2026-01-20T19:28:49.90261447Z","01KFEDZ32ZZHWD75NZHFJ7C3YQ","2026-01-20T19:28:49.90261447Z"
