"id","batchID","batchIDLastChangedAt","costCorrect","costCorrectLastChangedAt","gameID","gameIDLastChangedAt","myGain","myGainLastChangedAt","playerID","playerIDLastChangedAt","roundID","roundIDLastChangedAt","stageID","stageIDLastChangedAt","submit","submitLastChangedAt"
"01KFEJKTWN2PH4E3TWCNP3JJHY","01KFEHAM0SBSN9QYCK4NGJTWCC","2026-01-20T20:47:50.677587233Z","","","01KFEHAM45R1366856G6A2WGHZ","2026-01-20T20:47:50.677587233Z",NA,"","01KFEHYH6DP091MJE3KD0CRNR1","2026-01-20T20:47:50.677587233Z","01KFEJBBT30ZH34V66TAVX861N","2026-01-20T20:47:50.677587233Z","01KFEJBCH6E39DKCGHQSH7ZS1V","2026-01-20T20:47:50.677587233Z","true","2026-01-20T20:47:53.277912466Z"
"01KFEFP020PPGV5ZQDSZ7TW6C7","01KFEDC9EK94N2WNCHE5RRQHCJ","2026-01-20T19:56:35.776386386Z","","","01KFEDC9FF7T49EPA99GZDGH84","2026-01-20T19:56:35.776386386Z",NA,"","01KFEFBN24Q9S7DG3606EXV8XC","2026-01-20T19:56:35.776386386Z","01KFEFG2R0PWXFFK6QYMZXD16Q","2026-01-20T19:56:35.776386386Z","01KFEFG30VMA4C6TAE5HCPWZ1C","2026-01-20T19:56:35.776386386Z","true","2026-01-20T19:56:38.519154201Z"
"01KFEHWBJ1Y719VMGB686B9HYT","01KFEHA1MRJDJA6FNTED28Z8HF","2026-01-20T20:35:01.313288931Z","true","2026-01-20T20:35:13.249100838Z","01KFEHA1QYV2E8SAEFNEHYNVTN","2026-01-20T20:35:01.313288931Z",19,"2026-01-20T20:35:12.1988419Z","01KFEHHH6AXDMAXMWAFCF5JGBC","2026-01-20T20:35:01.313288931Z","01KFEHSJHDFMDQE97PZDNY5730","2026-01-20T20:35:01.313288931Z","01KFEHSJR13E6K41GJVJ95QVPA","2026-01-20T20:35:01.313288931Z","true","2026-01-20T20:35:16.255394369Z"
"01KFEHMCSRFHNNC92M8S8X0S70","01KFEHA1W0DBA89GCQ87GA4EG5","2026-01-20T20:30:40.440479279Z","","","01KFEHA1ZNDEMMB0DK92YAW8BD","2026-01-20T20:30:40.440479279Z",NA,"","01KFEHAFP87N0FEFRCAHH2V652","2026-01-20T20:30:40.440479279Z","01KFEHHMXAH9HKXAC2EX5WTMY4","2026-01-20T20:30:40.440479279Z","01KFEHHN3KSJ5S2Y9KSCRRDPFT","2026-01-20T20:30:40.440479279Z","true","2026-01-20T20:30:41.859170399Z"
"01KFEHXR1A5WH025CF1C0SFHH0","01KFEHA1EJWPRPNCXBTHCF12K2","2026-01-20T20:35:46.858233776Z","","","01KFEHA1GRK7A014NXTNRF457G","2026-01-20T20:35:46.858233776Z",NA,"","01KFEHFSGA9RW2KQK679GQ5Q17","2026-01-20T20:35:46.858233776Z","01KFEHPVMYEXWPG2VEHYC5GEGW","2026-01-20T20:35:46.858233776Z","01KFEHPVZSY9B13C0R7EADXQ4S","2026-01-20T20:35:46.858233776Z","true","2026-01-20T20:35:53.104266916Z"
"01KFEJSF74SCZ67QP2NYJSW7XQ","01KFEHAM0SBSN9QYCK4NGJTWCC","2026-01-20T20:50:55.332918237Z","false","2026-01-20T20:51:09.611006931Z","01KFEHAM4AZFDTAG8DR1VA4141","2026-01-20T20:50:55.332918237Z",20,"2026-01-20T20:51:06.107092681Z","01KFEJFMC7CFQF46Z46BV1EM1Q","2026-01-20T20:50:55.332918237Z","01KFEJMJPQBTQ50WP8X5YMXXBN","2026-01-20T20:50:55.332918237Z","01KFEJMK8TC5SSH1S7SAAD6FCF","2026-01-20T20:50:55.332918237Z","true","2026-01-20T20:51:12.362266869Z"
"01KFEJVJ9A4KNB9BB7BYW8YSRV","01KFEHAM0SBSN9QYCK4NGJTWCC","2026-01-20T20:52:04.010965008Z","","","01KFEHAM4AZFDTAG8DR1VA4141","2026-01-20T20:52:04.010965008Z",NA,"","01KFEJAS01H74KYS8N629S6DTN","2026-01-20T20:52:04.010965008Z","01KFEJMJRGXY9AQ0P54W1XDG10","2026-01-20T20:52:04.010965008Z","01KFEJMKF803C4JKN8WD4PDTEK","2026-01-20T20:52:04.010965008Z","true","2026-01-20T20:52:10.403792492Z"
"01KFEE6EJQWJKF6YAD4VZMMG8R","01KFEDCB0G5KS91T4MD9JTDSA4","2026-01-20T19:30:37.783698056Z","","","01KFEDCB197E7YMN5STVXKHS22","2026-01-20T19:30:37.783698056Z",NA,"","01KFEDRBWHPV4A332ZXM2PZSR4","2026-01-20T19:30:37.783698056Z","01KFEE2FC0NCXNN30B8EHW3QHJ","2026-01-20T19:30:37.783698056Z","01KFEE2FJ9GRY80VVKQZ0E84J7","2026-01-20T19:30:37.783698056Z","true","2026-01-20T19:30:40.064236691Z"
"01KFEHKDG5QGTPV8D9S94CGNT7","01KFEHA1MRJDJA6FNTED28Z8HF","2026-01-20T20:30:08.389325379Z","","","01KFEHA1R32D8V3SKQA6BEDXA8","2026-01-20T20:30:08.389325379Z",NA,"","01KFEHBPM0QM8692M9NW91QBAJ","2026-01-20T20:30:08.389325379Z","01KFEHGC8APBVBEXKWFK29QFC6","2026-01-20T20:30:08.389325379Z","01KFEHGCFHHAX92BN4FCWWJ2E3","2026-01-20T20:30:08.389325379Z","true","2026-01-20T20:30:09.630650746Z"
"01KFEFQE8S2MWEA2MVE5NTCWTB","01KFEDCAVEZK3QD8ZFC2PP83WE","2026-01-20T19:57:23.097976924Z","","","01KFEDCAVZJC7DD4AH1B24TEC6","2026-01-20T19:57:23.097976924Z",NA,"","01KFEFE9N9CHB9632BFKRF4P6F","2026-01-20T19:57:23.097976924Z","01KFEFNH0JD152MDY1HAN1BFCQ","2026-01-20T19:57:23.097976924Z","01KFEFNH1W4ADD8KY0XHW5M70A","2026-01-20T19:57:23.097976924Z","true","2026-01-20T19:57:29.006501556Z"
