"game_number","alt_purple","stable_orange","stable_purple","both_stable","other","treatmentName"
"01KFY9K4W8CS4910XBJFRDG1S8",0,0,0.5,0,0.5,"CG_cooperate"
"01KFYB2F0VT86G75RZSSQ427N5",0,0,0.75,0,0.25,"CG_cooperate"
"01KFY9HTK0EK1PCHVKAZEZ3J5Q",0.25,0,0,0,0.75,"CG_cooperate"
"01KFYB4CPT3WCXNEGK2FSZ9Z0J",0,1,0,0,0,"CG_cooperate"
"01KFYB4CK59YSD539EMMQ4H53N",0,0,0,0,1,"CG_cooperate"
"01KFYB3WF3TYJE8PQD5KPHR31A",0,1,0,0,0,"CG_cooperate"
"01KFYB2FBWSZHHMASWSC1DBXFY",0,0.5,0,0,0.5,"CG_cooperate"
"01KFYB3W7FY6N2QQZCZ02XNG5B",0,1,0,0,0,"CG_cooperate"
"01KFYB4CB1G2R7A023X1DQ936J",0,1,0,0,0,"CG_cooperate"
"01KFYB4CEZB47EAXPBNJFZR78B",0,0,0,1,0,"CG_cooperate"
"01KFYB2F6CJQFAY8SNS54WMQNW",0,1,0,0,0,"CG_cooperate"
"01KFYB3WWWMA31YM2R8S0EP230",0,0,0,0,1,"CG_cooperate"
"01KFY9K3FN5263WR0FAQX9QS28",0,0,0.25,0,0.75,"CG_cooperate"
"01KFYB4CSXW0KBA31W5D250BT6",0,0,0,1,0,"CG_cooperate"
"01KFY9K38ZXYCWCYYG4A3WMAZW",0,0,0,0,1,"CG_cooperate"
"01KFYB2EVG398299GP4TR87MGB",0,1,0,0,0,"CG_cooperate"
"01KFY9K42AHW7GHFTXMN7EGHFW",0,0,0,1,0,"CG_cooperate"
"01KFYD2YN7VEC7BDJ1BWXKX8PF",0,1,0,0,0,"CG_cooperate"
"01KFYHW0TS9R73EK2NP1YWYFF4",0,0,0,0,1,"CG_selfish"
"01KFYEZATZ6P6AZJVAASBTY5FN",0,0,1,0,0,"CG_selfish"
"01KFYGC3HRC022MB4ASCC65NXG",0,0,0.25,0,0.75,"CG_selfish"
"01KFYEZABGKDVDY2ZXA7MBRJS3",0.25,0,0,0,0.75,"CG_selfish"
"01KFYEZAY0J21RE390G3VDH3Z2",0,0,0,0,1,"CG_selfish"
"01KFYG3ZDHR3XAW594V5BAYKHS",0,0,1,0,0,"CG_selfish"
"01KFYGXS7Z4MM7JQSJWG2ABW0P",0,1,0,0,0,"CG_selfish"
"01KFYK0A5NETQNPPD7SMCM13TX",0,0,0,0,1,"CG_selfish"
"01KFYGXS322077JSW0GTR8X4TB",0,1,0,0,0,"CG_selfish"
"01KFYGXSDZRH1J5Z85KR5P6S20",0,0,0.25,0,0.75,"CG_selfish"
"01KFYHVZZ815N08CSKK5HYNFNC",0,0,0,0,1,"CG_selfish"
"01KFYHW11EQM77YF0KHPKGDM6R",0,0,1,0,0,"CG_selfish"
"01KFYJZKBQ9NWC8AJXCX6DN87T",0.75,0,0,0,0.25,"CG_selfish"
"01KFYFQ8A5NBDYZAY6KZKMJENW",0,1,0,0,0,"CG_selfish"
"01KFYFQ8X02XGV9FDXQQ5ZT7WW",0,0,0.25,0,0.75,"CG_selfish"
"01KFYGF6VWCQESPSC892CEK7ZS",0,0,0,0,1,"CG_selfish"
"01KFYGXRQFQ19FPXGBMBGA2HJ5",0,0,0,0,1,"CG_selfish"
"01KFYHW040CZCH2ZEB3SG1WJRP",0,0,0,0,1,"CG_selfish"
"01KFYHXKT7NZQ9DAP27HCY6QDT",0,0,1,0,0,"CG_selfish"
"01KFYEZB5P2PNKY5A161X8FJXB",0,0,0,0,1,"CG_selfish"
"01KFYEZBD6FQ226DY7XGPEMYAD",0,0,1,0,0,"CG_selfish"
"01KFYEZBYYBK1DNH4PW6YXT702",0,0,0,0,1,"CG_selfish"
"01KFYHVZT48HXCHWBXETP3GFGZ",0,0,1,0,0,"CG_selfish"
"01KFYGC3CNANZ4MJKSN596XTZH",1,0,0,0,0,"CG_selfish"
"01KFYGC3TH691TC9GAK79DZ00F",0,0,0,0,1,"CG_selfish"
"01KFYGF76MH94CXZWFP7KMYY3B",0,0,1,0,0,"CG_selfish"
"01KFYHVREHQWS7VE1FA0N252YQ",0,0,0,0,1,"CG_selfish"
"01KFYFQ8GRGYWQRNR9FAZW4Z3W",0,0,0.25,0,0.75,"CG_selfish"
"01KFYFQ8PC2ST8D79S5HJCN75J",0,0,0,0,1,"CG_selfish"
"01KFYGC41G1JFWR1WD0YSTXT52",0,0.25,0,0,0.75,"CG_selfish"
"01KFZZNGK4GRP0EKB0GKC1MD04",0,0,0,1,0,"CG_cooperate"
"01KFZZNRJC25S6CR8RPMWSC361",0,1,0,0,0,"CG_cooperate"
"01KFZZP8R9H61JJ718Q0YKWQQ5",0,0,0.25,0,0.75,"CG_cooperate"
"01KFZZPA04JVQSFGZ521YR3S0W",0,0,0,0,1,"CG_cooperate"
"01KFZZPAMNDB04K7EDK0YK0HNH",0,0,0,0,1,"CG_cooperate"
"01KFZZNFFXYKX3FJHNDQFDC3VV",0,1,0,0,0,"CG_cooperate"
"01KFZZNG7B16R900DHP3AXV9QK",0,0,0,0,1,"CG_cooperate"
"01KFZZNF26JTW20VD892KV6Z16",0,0,0,0,1,"CG_cooperate"
"01KFZZNFXD80V1S796DBB881W6",0,0,0,0,1,"CG_cooperate"
"01KFYMC4MWXBBNEASC6S93NNP6",0,0,1,0,0,"CG_cooperate"
"01KFZZP5MRRJ9SFHH91GQ3PHPK",0.25,0,0,0,0.75,"CG_cooperate"
"01KG02K3JX0WAJE45A0SPR7MQ0",0,0,0,0,1,"noCG_selfish"
"01KG034JG52JZXA6ZR8PFSJ9DF",0,0,0,0,1,"noCG_selfish"
"01KG0EFG9RXS709H821K0BYM0B",0,0,0,0,1,"noCG_selfish"
"01KG0EFH510F6Y288MFBB6DQRX",0,1,0,0,0,"noCG_selfish"
"01KG0EFHD6YWB9R4YDG8M04041",0,0,0,1,0,"noCG_selfish"
"01KG0EGFTMXB9EAF0AVTM2CDWX",0,0.75,0,0,0.25,"noCG_selfish"
"01KG0GBDHZP1S541V6NXFSRGZP",0,0,0,1,0,"noCG_selfish"
"01KG0EGK6CAMXTEYNXMXXM4F0K",0,0,0,0,1,"noCG_selfish"
"01KG0FSR4HXAGN374M1AS5N9J3",0,0,0.25,0,0.75,"noCG_selfish"
"01KG0GBDVRJEASFEDKMVGJ42H6",0.25,0,0,0,0.75,"noCG_selfish"
"01KG0EGJ074E4JT2393Y4Y2Z5Z",0,1,0,0,0,"noCG_selfish"
"01KG0EGJED17V80726K3S4Y8Q1",0,0,0,0,1,"noCG_selfish"
"01KG0EFF5ZK0H6TN0SEC028EP7",0,0,0,1,0,"noCG_selfish"
"01KG0EFHYGM9PG6X1953BD4XSY",0,0,0,1,0,"noCG_selfish"
"01KG0EGJWVX3RSQWDRHRASS17C",0,0,1,0,0,"noCG_selfish"
"01KG0FSRKAF2X4JE14WNDVJHP1",0,0,0,0,1,"noCG_selfish"
"01KG0EGH5BZX0NYAFE23EYTYHM",0,0,0.5,0,0.5,"noCG_selfish"
"01KG0EGHJVN0WCX7BHMR1Y9JN7",0,1,0,0,0,"noCG_selfish"
"01KG0FSRAF37S2RFVF8X440S2N",0,0,0,0,1,"noCG_selfish"
"01KG0EFGKAW1KABRA124NK0G3Q",0,0,0,0,1,"noCG_selfish"
"01KG0EFGQ6JR9TEDW0C4YZR0DF",0,1,0,0,0,"noCG_selfish"
"01KG0EFHQP8YD8GWXRPHFJY93S",0,0,0,0,1,"noCG_selfish"
"01KG0EFJ9TRGH65R6J6EX1CMSR",0,0,1,0,0,"noCG_selfish"
"01KG0EGGPZEK1Q55WGS3P0EKSY",0,0,0.75,0,0.25,"noCG_selfish"
"01KG0FSRR7DBMJNVTBT0RD4V2V",0,0,0,0,1,"noCG_selfish"
"01KG0GBD7TXN9EWYTW1P9R6WPS",0,0,0,0,1,"noCG_selfish"
"01KG0EFGYA756P3RP1XW89TSRY",0,0,0.5,0,0.5,"noCG_selfish"
"01KG0EFJGNZ073HJSXY9M0CMSZ",0,0,1,0,0,"noCG_selfish"
"01KG0FSRZ49FECYRF87D7EHWQ2",0,0,0,0,1,"noCG_selfish"
"01KG0H3X9S8ZR8HTJY0HSJCWW9",0,0,1,0,0,"noCG_selfish"
