"id","advice","adviceLastChangedAt","bonus","bonusLastChangedAt","endReason","endReasonLastChangedAt","ended","endedLastChangedAt","exitStep","exitStepLastChangedAt","exitSurvey","exitSurveyLastChangedAt","gameID","gameIDLastChangedAt","intro","introLastChangedAt","introDone","introDoneLastChangedAt","participantID","participantIDLastChangedAt","participantIdentifier","participantIdentifierLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt","urlParams","urlParamsLastChangedAt","writtenPlan","writtenPlanLastChangedAt","exitStepDone","exitStepDoneLastChangedAt"
"01KFYAFSQ32E1S8JVCSQNTKSTN","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:36:11.232847203Z",173,"2026-01-26T23:42:29.573704411Z","","","game ended","2026-01-26T23:42:45.407951387Z",1,"2026-01-26T23:43:27.368864516Z","{""adviceFollowed"":""My partner only kept going for the highest amount and wasn't trying to even share the earnings by moving around!!"",""partnerAdvice"":"""",""feedback"":""""}","2026-01-26T23:43:27.367614819Z","01KFY9K3FN5263WR0FAQX9QS28","2026-01-26T23:37:31.574510631Z",3,"2026-01-26T23:36:11.235316596Z","true","2026-01-26T23:37:50.382043316Z","01KFYAFSE7BRFPJKDXBFSZD7RH","2026-01-26T23:33:40.707934332Z","596f003434773e0001fc0d28","2026-01-26T23:33:40.707934332Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:33:40.713045095Z","CG_cooperate","2026-01-26T23:33:40.713045095Z","{""PROLIFIC_PID"":""596f003434773e0001fc0d28"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977f9b2dbbfcff4c238fcdc""}","2026-01-26T23:33:40.866863578Z","{""plan"":""I will try to move around where I am parking during the game.""}","2026-01-26T23:37:50.380363957Z",NA,NA
"01KFYARN7DV6PVPV4SYYPED9PC","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:40:35.26320107Z",134,"2026-01-26T23:44:18.074179931Z","","","game ended","2026-01-26T23:44:28.571415093Z",1,"2026-01-26T23:44:48.912812984Z","{""adviceFollowed"":""Not really."",""partnerAdvice"":"""",""feedback"":""""}","2026-01-26T23:44:48.915120043Z","01KFY9K42AHW7GHFTXMN7EGHFW","2026-01-26T23:41:03.303595555Z",3,"2026-01-26T23:40:35.260183743Z","true","2026-01-26T23:41:23.347938731Z","01KFYARMRNYJQ1DK334KJ7JR6Q","2026-01-26T23:38:31.0219364Z","5cf9de227cb81800012766ef","2026-01-26T23:38:31.0219364Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:38:31.025611811Z","CG_cooperate","2026-01-26T23:38:31.025611811Z","{""PROLIFIC_PID"":""5cf9de227cb81800012766ef"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fac1eac01be6adebd922""}","2026-01-26T23:38:31.221327879Z","{""plan"":""I'll try and be fair while choosing. But I also want to maximize the profit.""}","2026-01-26T23:41:23.344812541Z",NA,NA
"01KFYAT7APHWYKS5FEJV3MQHMR","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:41:36.225003633Z",222,"2026-01-26T23:45:55.444804278Z","","","game ended","2026-01-26T23:46:06.094649157Z",1,"2026-01-26T23:47:23.987813453Z","{""adviceFollowed"":""Yes! We tried to avoid collisions and alternate places to allow the other to try different things too and gain more points."",""partnerAdvice"":"""",""feedback"":""No issues. Like to hear the results - thank you!""}","2026-01-26T23:47:23.891798527Z","01KFY9K4W8CS4910XBJFRDG1S8","2026-01-26T23:42:25.552513088Z",3,"2026-01-26T23:41:36.237703091Z","true","2026-01-26T23:43:13.594645292Z","01KFYAT6ZW8390JZAP457VD1YA","2026-01-26T23:39:22.326754988Z","69136dffc23976053d4a4166","2026-01-26T23:39:22.326754988Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:39:22.331818955Z","CG_cooperate","2026-01-26T23:39:22.331818955Z","{""PROLIFIC_PID"":""69136dffc23976053d4a4166"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fa94f65290cc3be7ce39""}","2026-01-26T23:39:22.492073315Z","{""plan"":""My plan is to prioritize high-paying outcomes while avoiding collisions. I will start by choosing spot C, since it has the highest regular payoff, and adjust if collisions occur.""}","2026-01-26T23:43:13.543871827Z",NA,NA
"01KFYAVAXJQCZ685PA8QRNKE9E","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:42:32.616673309Z",129,"2026-01-26T23:45:55.444804278Z","","","game ended","2026-01-26T23:46:06.094649157Z",1,"2026-01-26T23:47:16.042952648Z","{""adviceFollowed"":""I tried to follow the advice, but I also tried to minimize my losses. It would have been nice if we could communicate and take turns getting the best outcome."",""partnerAdvice"":"""",""feedback"":""""}","2026-01-26T23:47:16.040887163Z","01KFY9K4W8CS4910XBJFRDG1S8","2026-01-26T23:42:25.552513088Z",3,"2026-01-26T23:42:32.61772347Z","true","2026-01-26T23:43:48.207249537Z","01KFYAVAPTT5J4EG5VAP52YBP9","2026-01-26T23:39:58.771012172Z","623a4d7294028cfe9638272f","2026-01-26T23:39:58.771012172Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:39:58.775778363Z","CG_cooperate","2026-01-26T23:39:58.775778363Z","{""PROLIFIC_PID"":""623a4d7294028cfe9638272f"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fb0ef9404838616f7da8""}","2026-01-26T23:39:58.915160869Z","{""plan"":""I think the fairest outcome is if we both park in the orange spots. Both of us parking in the purple spots is the second best outcome.""}","2026-01-26T23:43:48.206358824Z",NA,NA
"01KFYB42AQTC4R2X1BFHMZEZZT","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:46:54.149388992Z",224,"2026-01-26T23:52:49.13864084Z","","","game ended","2026-01-26T23:53:01.763396081Z",1,"2026-01-26T23:57:13.0100312Z","{""adviceFollowed"":""The advice was to aim for a favorable outcome for both sides, and I feel we both kinda followed that advice."",""partnerAdvice"":"""",""feedback"":""No technical issues. Everything went smoothly.""}","2026-01-26T23:57:13.005775645Z","01KFYB2FBWSZHHMASWSC1DBXFY","2026-01-26T23:48:21.693055108Z",3,"2026-01-26T23:46:54.147226005Z","true","2026-01-26T23:48:34.128223739Z","01KFYB4146DS1SPAN9B61MAQ7P","2026-01-26T23:44:44.887405025Z","611d762287bd19587be1b399","2026-01-26T23:44:44.887405025Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:44.892833172Z","CG_cooperate","2026-01-26T23:44:44.892833172Z","{""PROLIFIC_PID"":""611d762287bd19587be1b399"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fc1a27c30bfcfc2a92fa""}","2026-01-26T23:44:45.43261958Z","{""plan"":""I'm aiming for an outcome that will benefit us both""}","2026-01-26T23:48:34.126387017Z",NA,NA
"01KFYC751ZMD08DC3S1SFSF1GR","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-27T00:05:33.803312543Z",58,"2026-01-27T00:07:48.371369744Z","","","game ended","2026-01-27T00:08:51.87740408Z",1,"2026-01-27T00:09:13.246200277Z","{""adviceFollowed"":""No, my partner would only choose the highest cost one for him and wouldn't alternate"",""partnerAdvice"":"""",""feedback"":""""}","2026-01-27T00:09:13.251076959Z","01KFYB4CSXW0KBA31W5D250BT6","2026-01-27T00:03:54.570903886Z",3,"2026-01-27T00:05:33.807737206Z","true","2026-01-27T00:05:55.014340219Z","01KFYC74XFCTW4SZJM30AAMBE1","2026-01-27T00:03:54.559588286Z","695fbbc7e88ed91502f1001f","2026-01-27T00:03:54.559588286Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-27T00:03:54.570903886Z","CG_cooperate","2026-01-27T00:03:54.570903886Z","{""PROLIFIC_PID"":""695fbbc7e88ed91502f1001f"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""697800d9f858d0ae4c5c5a29""}","2026-01-27T00:03:54.65019082Z","{""plan"":""I will try to pick a different spot and color""}","2026-01-27T00:05:55.018746965Z",NA,NA
"01KFYB26EKH27XP57V9QHTQDVQ","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:50:05.632588304Z",230,"2026-01-26T23:55:48.582996663Z","","","game ended","2026-01-26T23:55:56.084666255Z",1,"2026-01-26T23:56:41.092985459Z","{""adviceFollowed"":""I think we did yes. I think my partner would agree as well."",""partnerAdvice"":"""",""feedback"":""The study went well, thank you!""}","2026-01-26T23:56:41.088602687Z","01KFYB4CB1G2R7A023X1DQ936J","2026-01-26T23:53:04.537828139Z",3,"2026-01-26T23:50:05.705804643Z","true","2026-01-26T23:53:40.25297443Z","01KFYB264V2HKXTPAN2F7M09CS","2026-01-26T23:43:43.571078598Z","5fb0a3d6a8e4224b973e750b","2026-01-26T23:43:43.571078598Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:43:43.576583109Z","CG_cooperate","2026-01-26T23:43:43.576583109Z","{""PROLIFIC_PID"":""5fb0a3d6a8e4224b973e750b"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fb901b52f21093d7eacf""}","2026-01-26T23:43:43.749159602Z","{""plan"":""My game plan is probably just listen to the advice of the person who did this before. I will also hope that maybe the person I get paired with chooses B ornge so that I can choose A to me that's the best case for us both. However if they want to choose purple with the most MU that's fine as well. ""}","2026-01-26T23:53:40.249723776Z",NA,NA
"01KFYBQPMACNM81HRXG3C0GCXF","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:59:37.096357005Z",58,"2026-01-27T00:07:48.371369744Z","","","game ended","2026-01-27T00:08:51.87740408Z",1,"2026-01-27T00:09:43.873119662Z","{""adviceFollowed"":""I tried to, but my partner seemingly didn't"",""partnerAdvice"":"""",""feedback"":""""}","2026-01-27T00:09:43.879234873Z","01KFYB4CSXW0KBA31W5D250BT6","2026-01-26T23:58:55.916712012Z",3,"2026-01-26T23:59:37.226824292Z","true","2026-01-27T00:02:11.805605456Z","01KFYBQP2AJSJA5ECZRCX1K99R","2026-01-26T23:55:28.266856319Z","682b23f345fc428cc9586a06","2026-01-26T23:55:28.266856319Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:55:28.274214993Z","CG_cooperate","2026-01-26T23:55:28.274214993Z","{""PROLIFIC_PID"":""682b23f345fc428cc9586a06"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fe2df858d0ae4c5c59c3""}","2026-01-26T23:55:28.566738745Z","{""plan"":""I plan to avoid collisions and coordinate on the same color to earn the bonus. I will aim for a fair outcomes for both of us while prioritizing options that give high total earnings""}","2026-01-27T00:02:11.809972787Z",NA,NA
"01KFYBC21GPAT6RH2B7BZSEQ7X","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:51:06.226570202Z",76,"2026-01-26T23:54:48.327867414Z","","","game ended","2026-01-26T23:55:00.315214516Z",1,"2026-01-26T23:57:23.009030062Z","{""adviceFollowed"":""I did, my partner did not"",""partnerAdvice"":"""",""feedback"":""Everything was fine""}","2026-01-26T23:57:23.005048321Z","01KFYB3WWWMA31YM2R8S0EP230","2026-01-26T23:52:25.817206712Z",3,"2026-01-26T23:51:06.229696778Z","true","2026-01-26T23:52:37.935103504Z","01KFYBC1GT90ZC1HKQCKZQ99EP","2026-01-26T23:49:06.736604952Z","65dc99d0191a135ab835bf69","2026-01-26T23:49:06.736604952Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:49:06.743631559Z","CG_cooperate","2026-01-26T23:49:06.743631559Z","{""PROLIFIC_PID"":""65dc99d0191a135ab835bf69"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fd366bbb28d36dc93684""}","2026-01-26T23:49:07.130300671Z","{""plan"":""My plan is to try and be as fair as possible. I will be happy to work together to try and get the most point for both of us possible. I will prioritize picking the orange spaces""}","2026-01-26T23:52:37.938244347Z",NA,NA
"01KFYBPCC45WPJYS8KZKKCR78Q","{""advice"":""Try to find an outcome that's fair for both of you.""}","2026-01-26T23:57:28.954554533Z",260,"2026-01-27T00:00:43.587281624Z","","","game ended","2026-01-27T00:00:52.238837088Z",1,"2026-01-27T00:01:53.267810832Z","{""adviceFollowed"":""Yes, I picked B consistently and my partner picked A consistently. We were fair to each other."",""partnerAdvice"":"""",""feedback"":""Everything went smoothly so far. Thank you for offering this interesting and unique parking study.""}","2026-01-27T00:01:53.26344519Z","01KFYB4CPT3WCXNEGK2FSZ9Z0J","2026-01-26T23:55:37.891570962Z",3,"2026-01-26T23:57:29.013765088Z","true","2026-01-26T23:58:55.90624233Z","01KFYBPC4BRNR8WK60QJPCK2F5","2026-01-26T23:54:44.996094447Z","5c388683fb3f0f0001fdf65a","2026-01-26T23:54:44.996094447Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:54:45.005894016Z","CG_cooperate","2026-01-26T23:54:45.005894016Z","{""PROLIFIC_PID"":""5c388683fb3f0f0001fdf65a"",""STUDY_ID"":""6976b36e15b09b93b6b74098"",""SESSION_ID"":""6977fe96da2498b5345cfc8c""}","2026-01-26T23:54:45.130871837Z","{""plan"":""I want to try to be fair so I will start by parking at B. If my partner decides to be unfair and go for C, I will also go for C. ""}","2026-01-26T23:58:55.910152192Z",NA,NA
