"id","batchID","batchIDLastChangedAt","costCorrect","costCorrectLastChangedAt","gameID","gameIDLastChangedAt","myGain","myGainLastChangedAt","playerID","playerIDLastChangedAt","roundID","roundIDLastChangedAt","stageID","stageIDLastChangedAt","submit","submitLastChangedAt","requestNext","requestNextLastChangedAt"
"01KFYBAGSYRRN81WMD8E52AAXE","01KFYB2EV7WTMQDNWMACYR8165","2026-01-26T23:48:16.318072738Z","","","01KFYB2EVG398299GP4TR87MGB","2026-01-26T23:48:16.318072738Z",NA,"","01KFYB2G7TXS4VX1SAB2FED2W4","2026-01-26T23:48:16.318072738Z","01KFYB75PRCCDZ58AA4PN2W7PS","2026-01-26T23:48:16.318072738Z","01KFYB75S81RPT6CPQDYMCKDV3","2026-01-26T23:48:16.318072738Z","true","2026-01-26T23:48:17.731821212Z",NA,NA
"01KFYBCHWFT6X87Z8K02H7PGNG","01KFYB2F63Y8T7GYEFR4MBJAR4","2026-01-26T23:49:22.959807257Z","","","01KFYB2F6CJQFAY8SNS54WMQNW","2026-01-26T23:49:22.959807257Z",NA,"","01KFYB6JASQBJHBF6YYSMD9KTS","2026-01-26T23:49:22.959807257Z","01KFYBAP2NWPGCB109Q6VRJP10","2026-01-26T23:49:22.959807257Z","01KFYBAP4J4J9M9KEDYGWHE3DD","2026-01-26T23:49:22.959807257Z","true","2026-01-26T23:49:24.465446899Z",NA,NA
"01KFYBP4R74BFT8GEHZ38JR4XW","01KFYB3WWM67RP7FMRKVWMRND7","2026-01-26T23:54:37.191893965Z","","","01KFYB3WWWMA31YM2R8S0EP230","2026-01-26T23:54:37.191893965Z",NA,"","01KFYBBACTTJ7QBHA9H2J74KE1","2026-01-26T23:54:37.191893965Z","01KFYBKAAJM6BHKGSMK7ZRQVCE","2026-01-26T23:54:37.191893965Z","01KFYBKAFWPDMA4A3TN2N34YHK","2026-01-26T23:54:37.191893965Z","true","2026-01-26T23:54:38.437075423Z",NA,NA
"01KFYCCWNHYNM08CPHQRP7KSND","01KFYB4CSMRTXHJAQAWH5JF6WN","2026-01-27T00:07:02.577796829Z","","","01KFYB4CSXW0KBA31W5D250BT6","2026-01-27T00:07:02.577796829Z",NA,"","01KFYC751ZMD08DC3S1SFSF1GR","2026-01-27T00:07:02.577796829Z","01KFYCATR21J74MS34XYNGJG6G","2026-01-27T00:07:02.577796829Z","01KFYCATVKAEF1EC3BTERD1T68","2026-01-27T00:07:02.577796829Z","true","2026-01-27T00:07:03.361259314Z",NA,NA
"01KFYAMAPQTFKSESAH3244JREW","01KFY9HTJJ4QFNK0GT580T7CHT","2026-01-26T23:36:09.175794465Z","","","01KFY9HTK0EK1PCHVKAZEZ3J5Q","2026-01-26T23:36:09.175794465Z",NA,"","01KFYAC23P63FQXW0M94C6K5F1","2026-01-26T23:36:09.175794465Z","01KFYAH5X9MD643W7J19Z4PQV9","2026-01-26T23:36:09.175794465Z","01KFYAH5YH6GS00AVTVPMEZSDN","2026-01-26T23:36:09.175794465Z","true","2026-01-26T23:36:13.925811041Z",NA,NA
"01KFYAS5XE51XHW4ADW10SZQV5","01KFY9K38R9B0V2KDXTE5BW1TW","2026-01-26T23:38:48.110095193Z","false","2026-01-26T23:38:53.33885215Z","01KFY9K38ZXYCWCYYG4A3WMAZW","2026-01-26T23:38:48.110095193Z",10,"2026-01-26T23:38:51.94549391Z","01KFYAFJ55FDGFZ9S3KAFEYVJX","2026-01-26T23:38:48.110095193Z","01KFYAPV68VARNQQKTNJNP3ZGY","2026-01-26T23:38:48.110095193Z","01KFYAPV8KR50YBSE9RM63M3NV","2026-01-26T23:38:48.110095193Z","true","2026-01-26T23:38:56.342684746Z",NA,NA
"01KFYB9TEY5PA9JEBGJ37NCZZ0","01KFYB2EV7WTMQDNWMACYR8165","2026-01-26T23:47:53.438023104Z","true","2026-01-26T23:48:06.360818616Z","01KFYB2EVG398299GP4TR87MGB","2026-01-26T23:47:53.438023104Z",17,"2026-01-26T23:48:04.09400732Z","01KFYAXC47RDBBPX64WAKXNAG7","2026-01-26T23:47:53.438023104Z","01KFYB75PNFV9PPMYT0TZVNH98","2026-01-26T23:47:53.438023104Z","01KFYB75RM1FYV323E0XK2ZFE5","2026-01-26T23:47:53.438023104Z","true","2026-01-26T23:48:09.372141392Z",NA,NA
"01KFYBKS9BE28X0QPFNJS4YPCS","01KFYB3W748Z68X977A3EWG1EX","2026-01-26T23:53:19.915400699Z","","","01KFYB3W7FY6N2QQZCZ02XNG5B","2026-01-26T23:53:19.915400699Z",NA,"","01KFYARV8MEA9HK69XVH7F0GD3","2026-01-26T23:53:19.915400699Z","01KFYBFEHA02SH91GQA8QMSZ4X","2026-01-26T23:53:19.915400699Z","01KFYBFEMQAT35JXGR3FTHNR9K","2026-01-26T23:53:19.915400699Z","true","2026-01-26T23:53:23.0659188Z",NA,NA
"01KFYBQTP1FJKGX1R7ZAS72GR9","01KFYB4CANT90CFKYK313QFXK0","2026-01-26T23:55:32.417454679Z","","","01KFYB4CB1G2R7A023X1DQ936J","2026-01-26T23:55:32.417454679Z",NA,"","01KFYB26EKH27XP57V9QHTQDVQ","2026-01-26T23:55:32.417454679Z","01KFYBNBFATH1B0JK0ERT1D67F","2026-01-26T23:55:32.417454679Z","01KFYBNBMCKQHNFWSBA0A6V9FN","2026-01-26T23:55:32.417454679Z","true","2026-01-26T23:55:34.648469609Z",NA,NA
"01KFYC0GS2ZGX1SW1HZ409PKDN","01KFYB4CPGHZ33P7TDQEHX4900","2026-01-27T00:00:17.186181301Z","","","01KFYB4CPT3WCXNEGK2FSZ9Z0J","2026-01-27T00:00:17.186181301Z",NA,"","01KFYBPCC45WPJYS8KZKKCR78Q","2026-01-27T00:00:17.186181301Z","01KFYBY1ET3ZP48HKKYQHXN7X0","2026-01-27T00:00:17.186181301Z","01KFYBY1K9D24J1XJQ15MV6BCQ","2026-01-27T00:00:17.186181301Z","true","2026-01-27T00:00:18.456995519Z",NA,NA
"01KFYBCB4S1ZSFW7R889D6MQ8A","01KFYB2F63Y8T7GYEFR4MBJAR4","2026-01-26T23:49:16.057356048Z","","","01KFYB2F6CJQFAY8SNS54WMQNW","2026-01-26T23:49:16.057356048Z",NA,"","01KFYB69ZXZZRYB8H8P54B5964","2026-01-26T23:49:16.057356048Z","01KFYBAP2QRD68RV9B498S4QXW","2026-01-26T23:49:16.057356048Z","01KFYBAP47136VRGKH9D432QC4","2026-01-26T23:49:16.057356048Z","true","2026-01-26T23:49:19.29997911Z",NA,NA
