"id","actualPlayerCount","actualPlayerCountLastChangedAt","batchID","batchIDLastChangedAt","ended","endedLastChangedAt","endedReason","endedReasonLastChangedAt","groupID","groupIDLastChangedAt","lobbyTimerID","lobbyTimerIDLastChangedAt","roundIndex","roundIndexLastChangedAt","stageID","stageIDLastChangedAt","start","startLastChangedAt","starting","startingLastChangedAt","status","statusLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt"
"01KFY9K4W8CS4910XBJFRDG1S8",2,"2026-01-26T23:43:48.215190215Z","01KFY9K4W2E7WPYD3BXTXVHG57","2026-01-26T23:18:01.864851952Z","true","2026-01-26T23:46:06.080119717Z","end of game","2026-01-26T23:46:06.086639628Z","01KFY9K4WHEWH57XX5WKMJBJV8","2026-01-26T23:18:01.875352678Z","01KFYB195YJ6X5HNGJR2GP24JW","2026-01-26T23:43:13.601241271Z",12,"2026-01-26T23:43:48.243217921Z","null","2026-01-26T23:46:06.080119717Z","true","2026-01-26T23:43:48.215190215Z","true","2026-01-26T23:43:48.215190215Z","ended","2026-01-26T23:46:06.086639628Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:18:01.864851952Z","CG_cooperate","2026-01-26T23:18:01.864851952Z"
"01KFYB2F0VT86G75RZSSQ427N5",2,"2026-01-26T23:47:38.45199817Z","01KFYB2F0MZF5DBBHETCFCZHVH","2026-01-26T23:43:52.347976003Z","true","2026-01-26T23:49:05.780943835Z","end of game","2026-01-26T23:49:05.790265082Z","01KFYB2F182JB04YZY0TZ655TZ","2026-01-26T23:43:52.361292926Z","01KFYB7X1TKTQ4R1379BDVQ0W6","2026-01-26T23:46:50.558623472Z",12,"2026-01-26T23:47:38.49327406Z","null","2026-01-26T23:49:05.780943835Z","true","2026-01-26T23:47:38.45199817Z","true","2026-01-26T23:47:38.45199817Z","ended","2026-01-26T23:49:05.790265082Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:43:52.347976003Z","CG_cooperate","2026-01-26T23:43:52.347976003Z"
"01KFY9HTK0EK1PCHVKAZEZ3J5Q",2,"2026-01-26T23:34:25.939982743Z","01KFY9HTJJ4QFNK0GT580T7CHT","2026-01-26T23:17:18.56044251Z","true","2026-01-26T23:38:47.209023038Z","end of game","2026-01-26T23:38:47.212746426Z","01KFY9HTKFSYN8KRSW9JK71M9R","2026-01-26T23:17:18.577932199Z","01KFYAGDN5HC8NFRMDX5ZFRM1C","2026-01-26T23:34:01.129882666Z",12,"2026-01-26T23:34:25.964009693Z","null","2026-01-26T23:38:47.209023038Z","true","2026-01-26T23:34:25.939982743Z","true","2026-01-26T23:34:25.939982743Z","ended","2026-01-26T23:38:47.212746426Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:17:18.56044251Z","CG_cooperate","2026-01-26T23:17:18.56044251Z"
"01KFYB4CPT3WCXNEGK2FSZ9Z0J",2,"2026-01-26T23:58:55.916712012Z","01KFYB4CPGHZ33P7TDQEHX4900","2026-01-26T23:44:55.514937101Z","true","2026-01-27T00:00:52.219540284Z","end of game","2026-01-27T00:00:52.232108845Z","01KFYB4CQ9PXFHFSHAH21H5TGK","2026-01-26T23:44:55.530096017Z","01KFYBXGQFS24JG22E4FZ7KDBW","2026-01-26T23:58:38.836038265Z",12,"2026-01-26T23:58:55.987081896Z","null","2026-01-27T00:00:52.219540284Z","true","2026-01-26T23:58:55.916712012Z","true","2026-01-26T23:58:55.916712012Z","ended","2026-01-27T00:00:52.232108845Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:55.514937101Z","CG_cooperate","2026-01-26T23:44:55.514937101Z"
"01KFYB4CK59YSD539EMMQ4H53N",2,"2026-01-26T23:55:37.891570962Z","01KFYB4CJVK0E9CM7VJS8SEE5D","2026-01-26T23:44:55.397376311Z","true","2026-01-27T00:00:21.773292705Z","end of game","2026-01-27T00:00:21.784431665Z","01KFYB4CKJ1FF1PEA6QFYHVY81","2026-01-26T23:44:55.411862173Z","01KFYBP8TSY7FGDT25YTVGVNZD","2026-01-26T23:54:41.372203562Z",12,"2026-01-26T23:55:37.947413304Z","null","2026-01-27T00:00:21.773292705Z","true","2026-01-26T23:55:37.891570962Z","true","2026-01-26T23:55:37.891570962Z","ended","2026-01-27T00:00:21.784431665Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:55.397376311Z","CG_cooperate","2026-01-26T23:44:55.397376311Z"
"01KFYB3WF3TYJE8PQD5KPHR31A",2,"2026-01-26T23:51:21.567122082Z","01KFYB3WETAE3NX4MNQRZ0H054","2026-01-26T23:44:38.88337731Z","true","2026-01-26T23:54:00.464423879Z","end of game","2026-01-26T23:54:00.473536054Z","01KFYB3WFHSTS86BHY489H3G40","2026-01-26T23:44:38.898449807Z","01KFYBG5M5D72AZFMAV1HDSCER","2026-01-26T23:51:21.479894436Z",12,"2026-01-26T23:51:21.622482228Z","null","2026-01-26T23:54:00.464423879Z","true","2026-01-26T23:51:21.567122082Z","true","2026-01-26T23:51:21.567122082Z","ended","2026-01-26T23:54:00.473536054Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:38.88337731Z","CG_cooperate","2026-01-26T23:44:38.88337731Z"
"01KFYB2FBWSZHHMASWSC1DBXFY",2,"2026-01-26T23:49:33.791348509Z","01KFYB2FBKD7JXPFCMWPMFS0BZ","2026-01-26T23:43:52.700946436Z","true","2026-01-26T23:53:01.74897109Z","end of game","2026-01-26T23:53:01.758331619Z","01KFYB2FC9GQSJD81M75YX3YD1","2026-01-26T23:43:52.714995758Z","01KFYBB26MVAF09EHKA25ZNA8T","2026-01-26T23:48:34.1346459Z",12,"2026-01-26T23:49:33.844764454Z","null","2026-01-26T23:53:01.74897109Z","true","2026-01-26T23:49:33.791348509Z","true","2026-01-26T23:49:33.791348509Z","ended","2026-01-26T23:53:01.758331619Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:43:52.700946436Z","CG_cooperate","2026-01-26T23:43:52.700946436Z"
"01KFYB3W7FY6N2QQZCZ02XNG5B",2,"2026-01-26T23:50:57.791740065Z","01KFYB3W748Z68X977A3EWG1EX","2026-01-26T23:44:38.63923749Z","true","2026-01-26T23:54:32.265766552Z","end of game","2026-01-26T23:54:32.275700867Z","01KFYB3W7WDND3TY306QZHG80H","2026-01-26T23:44:38.654689822Z","01KFYBF04BG038917TAVHDDVYW","2026-01-26T23:50:43.087149165Z",12,"2026-01-26T23:50:57.832083445Z","null","2026-01-26T23:54:32.265766552Z","true","2026-01-26T23:50:57.791740065Z","true","2026-01-26T23:50:57.791740065Z","ended","2026-01-26T23:54:32.275700867Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:38.63923749Z","CG_cooperate","2026-01-26T23:44:38.63923749Z"
"01KFYB4CB1G2R7A023X1DQ936J",2,"2026-01-26T23:54:11.252027467Z","01KFYB4CANT90CFKYK313QFXK0","2026-01-26T23:44:55.137922608Z","true","2026-01-26T23:55:56.06838024Z","end of game","2026-01-26T23:55:56.078774106Z","01KFYB4CBGZAKKJMN7DTJ8G5NR","2026-01-26T23:44:55.153622868Z","01KFYBMD52MPVAFB14GG1SAYY2","2026-01-26T23:53:40.261846419Z",12,"2026-01-26T23:54:11.317130421Z","null","2026-01-26T23:55:56.06838024Z","true","2026-01-26T23:54:11.252027467Z","true","2026-01-26T23:54:11.252027467Z","ended","2026-01-26T23:55:56.078774106Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:55.137922608Z","CG_cooperate","2026-01-26T23:44:55.137922608Z"
"01KFYB4CEZB47EAXPBNJFZR78B",2,"2026-01-26T23:54:30.184601791Z","01KFYB4CEQET274VCHE07WC6NK","2026-01-26T23:44:55.263600155Z","true","2026-01-26T23:56:48.596143145Z","end of game","2026-01-26T23:56:48.607021644Z","01KFYB4CFDFMMKXQE3TT8BBJB6","2026-01-26T23:44:55.278454931Z","01KFYBNRMKJTHDM6ZRTVBZ6HT5","2026-01-26T23:54:24.791050746Z",12,"2026-01-26T23:54:30.253539933Z","null","2026-01-26T23:56:48.596143145Z","true","2026-01-26T23:54:30.184601791Z","true","2026-01-26T23:54:30.184601791Z","ended","2026-01-26T23:56:48.607021644Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-26T23:44:55.263600155Z","CG_cooperate","2026-01-26T23:44:55.263600155Z"
