"game_number","condition","alt_purple","stable_orange","stable_purple","no_norm"
1,"condition1",0,1,0,0
1,"condition1",0,1,0,0
2,"condition1",0,1,0,0
2,"condition1",0,1,0,0
3,"condition1",0,1,0,0
3,"condition1",0,1,0,0
4,"condition1",0,1,0,0
4,"condition1",0,1,0,0
5,"condition1",0,1,0,0
5,"condition1",0,1,0,0
6,"condition1",0,0,1,0
6,"condition1",0,0,1,0
7,"condition1",0,0.75,0,0.25
7,"condition1",0,0.75,0,0.25
8,"condition1",0,1,0,0
8,"condition1",0,1,0,0
9,"condition2",0,0,1,0
9,"condition2",0,0,1,0
10,"condition2",0,1,0,0
10,"condition2",0,1,0,0
11,"condition2",0,1,0,0
11,"condition2",0,1,0,0
12,"condition2",0.5,0,0,0.5
12,"condition2",0.5,0,0,0.5
13,"condition2",0,1,0,0
13,"condition2",0,1,0,0
14,"condition2",1,0,0,0
14,"condition2",1,0,0,0
15,"condition2",0,0,0.5,0.5
15,"condition2",0,0,0.5,0.5
16,"condition2",0,1,0,0
16,"condition2",0,1,0,0
17,"condition2",0,0,0,1
17,"condition2",0,0,0,1
18,"condition2",0,0,0,1
18,"condition2",0,0,0,1
19,"condition3",1,0,0,0
19,"condition3",1,0,0,0
20,"condition3",0,0,1,0
20,"condition3",0,0,1,0
21,"condition3",0,0,1,0
21,"condition3",0,0,1,0
22,"condition3",0,1,0,0
22,"condition3",0,1,0,0
23,"condition3",0,0,0.5,0.5
23,"condition3",0,0,0.5,0.5
24,"condition3",0,0,0.5,0.5
24,"condition3",0,0,0.5,0.5
25,"condition3",0,0,0,1
25,"condition3",0,0,0,1
26,"condition3",0,0,1,0
26,"condition3",0,0,1,0
27,"condition1",0,1,0,0
27,"condition1",0,1,0,0
28,"condition1",0,1,0,0
28,"condition1",0,1,0,0
29,"condition1",0,1,0,0
29,"condition1",0,1,0,0
30,"condition1",0,1,0,0
30,"condition1",0,1,0,0
31,"condition1",0,1,0,0
31,"condition1",0,1,0,0
32,"condition1",0,1,0,0
32,"condition1",0,1,0,0
33,"condition1",0,1,0,0
33,"condition1",0,1,0,0
34,"condition1",0,1,0,0
34,"condition1",0,1,0,0
35,"condition2",0,0,0,1
35,"condition2",0,0,0,1
36,"condition2",0,1,0,0
36,"condition2",0,1,0,0
37,"condition2",0,1,0,0
37,"condition2",0,1,0,0
38,"condition2",0,0,0,1
38,"condition2",0,0,0,1
39,"condition2",0,1,0,0
39,"condition2",0,1,0,0
40,"condition2",0,1,0,0
40,"condition2",0,1,0,0
41,"condition2",0,0,0,1
41,"condition2",0,0,0,1
42,"condition2",0,1,0,0
42,"condition2",0,1,0,0
43,"condition2",0,0,0.5,0.5
43,"condition2",0,0,0.5,0.5
44,"condition2",0,0,0,1
44,"condition2",0,0,0,1
45,"condition2",0,1,0,0
45,"condition2",0,1,0,0
46,"condition2",0,0,1,0
46,"condition2",0,0,1,0
47,"condition3",0,0,1,0
47,"condition3",0,0,1,0
48,"condition3",0,0,0.5,0.5
48,"condition3",0,0,0.5,0.5
49,"condition3",0,0,0,1
49,"condition3",0,0,0,1
50,"condition3",0,0,1,0
50,"condition3",0,0,1,0
51,"condition3",0,0,0,1
51,"condition3",0,0,0,1
52,"condition3",0,0,1,0
52,"condition3",0,0,1,0
53,"condition3",0,0,1,0
53,"condition3",0,0,1,0
54,"condition3",0,0,0.75,0.25
54,"condition3",0,0,0.75,0.25
55,"condition1",0,1,0,0
55,"condition1",0,1,0,0
56,"condition1",0,0,1,0
56,"condition1",0,0,1,0
57,"condition1",0,1,0,0
57,"condition1",0,1,0,0
58,"condition1",0,1,0,0
58,"condition1",0,1,0,0
59,"condition1",0,1,0,0
59,"condition1",0,1,0,0
60,"condition1",0,1,0,0
60,"condition1",0,1,0,0
61,"condition1",0,1,0,0
61,"condition1",0,1,0,0
62,"condition1",0,1,0,0
62,"condition1",0,1,0,0
63,"condition1",0,1,0,0
63,"condition1",0,1,0,0
64,"condition1",0,1,0,0
64,"condition1",0,1,0,0
65,"condition1",0,0,0,1
65,"condition1",0,0,0,1
66,"condition2",0,1,0,0
66,"condition2",0,1,0,0
67,"condition2",1,0,0,0
67,"condition2",1,0,0,0
68,"condition2",1,0,0,0
68,"condition2",1,0,0,0
69,"condition2",0,0,0,1
69,"condition2",0,0,0,1
70,"condition3",0,0,0,1
70,"condition3",0,0,0,1
71,"condition3",1,0,0,0
71,"condition3",1,0,0,0
72,"condition3",0,0,1,0
72,"condition3",0,0,1,0
73,"condition3",0,0,0.5,0.5
73,"condition3",0,0,0.5,0.5
74,"condition3",0,0,1,0
74,"condition3",0,0,1,0
75,"condition3",0,1,0,0
75,"condition3",0,1,0,0
76,"condition3",0,0,0.75,0.25
76,"condition3",0,0,0.75,0.25
77,"condition3",0,0,0,1
77,"condition3",0,0,0,1
78,"condition1",0,0.5,0,0.5
78,"condition1",0,0.5,0,0.5
79,"condition1",0,1,0,0
79,"condition1",0,1,0,0
80,"condition1",0.5,0,0,0.5
80,"condition1",0.5,0,0,0.5
81,"condition1",0,1,0,0
81,"condition1",0,1,0,0
82,"condition1",0,1,0,0
82,"condition1",0,1,0,0
83,"condition1",0,1,0,0
83,"condition1",0,1,0,0
84,"condition1",0,1,0,0
84,"condition1",0,1,0,0
85,"condition1",0,1,0,0
85,"condition1",0,1,0,0
86,"condition1",0,1,0,0
86,"condition1",0,1,0,0
87,"condition1",0,0,1,0
87,"condition1",0,0,1,0
88,"condition2",0,0,0.75,0.25
88,"condition2",0,0,0.75,0.25
89,"condition2",0,0,1,0
89,"condition2",0,0,1,0
90,"condition2",0,1,0,0
90,"condition2",0,1,0,0
91,"condition2",0,1,0,0
91,"condition2",0,1,0,0
92,"condition2",0,0,0,1
92,"condition2",0,0,0,1
93,"condition2",0,0,0,1
93,"condition2",0,0,0,1
94,"condition2",0,1,0,0
94,"condition2",0,1,0,0
95,"condition2",0,1,0,0
95,"condition2",0,1,0,0
96,"condition2",0,0,0,1
96,"condition2",0,0,0,1
97,"condition2",0,0,1,0
97,"condition2",0,0,1,0
98,"condition2",0,0,1,0
98,"condition2",0,0,1,0
99,"condition2",0,0,1,0
99,"condition2",0,0,1,0
100,"condition2",0,0,1,0
100,"condition2",0,0,1,0
101,"condition2",0,0,0,1
101,"condition2",0,0,0,1
102,"condition2",0,0,0,1
102,"condition2",0,0,0,1
103,"condition3",0,0,1,0
103,"condition3",0,0,1,0
104,"condition3",1,0,0,0
104,"condition3",1,0,0,0
105,"condition3",0,0,1,0
105,"condition3",0,0,1,0
106,"condition3",0,0,1,0
106,"condition3",0,0,1,0
107,"condition3",1,0,0,0
107,"condition3",1,0,0,0
108,"condition3",0,0,1,0
108,"condition3",0,0,1,0
109,"condition3",0,0,1,0
109,"condition3",0,0,1,0
110,"condition3",0,0,1,0
110,"condition3",0,0,1,0
111,"condition3",0,1,0,0
111,"condition3",0,1,0,0
112,"condition3",0,0,0,1
112,"condition3",0,0,0,1
113,"condition1",0,1,0,0
113,"condition1",0,1,0,0
114,"condition1",0,1,0,0
114,"condition1",0,1,0,0
115,"condition1",0,0,1,0
115,"condition1",0,0,1,0
116,"condition1",0,1,0,0
116,"condition1",0,1,0,0
117,"condition1",0,1,0,0
117,"condition1",0,1,0,0
118,"condition1",0,1,0,0
118,"condition1",0,1,0,0
119,"condition1",0,1,0,0
119,"condition1",0,1,0,0
120,"condition1",0,1,0,0
120,"condition1",0,1,0,0
121,"condition1",0,1,0,0
121,"condition1",0,1,0,0
122,"condition1",0,1,0,0
122,"condition1",0,1,0,0
123,"condition1",0,0,0,1
123,"condition1",0,0,0,1
124,"condition1",0,1,0,0
124,"condition1",0,1,0,0
125,"condition1",0,1,0,0
125,"condition1",0,1,0,0
126,"condition1",0,1,0,0
126,"condition1",0,1,0,0
127,"condition2",0,1,0,0
127,"condition2",0,1,0,0
128,"condition2",0,1,0,0
128,"condition2",0,1,0,0
129,"condition2",0,0,0,1
129,"condition2",0,0,0,1
130,"condition2",0,1,0,0
130,"condition2",0,1,0,0
131,"condition2",0,0,1,0
131,"condition2",0,0,1,0
132,"condition2",0,0,0,1
132,"condition2",0,0,0,1
133,"condition2",0,1,0,0
133,"condition2",0,1,0,0
134,"condition2",0,0.75,0,0.25
134,"condition2",0,0.75,0,0.25
135,"condition2",0,0,1,0
135,"condition2",0,0,1,0
136,"condition2",0,0,0,1
136,"condition2",0,0,0,1
137,"condition3",0,0,1,0
137,"condition3",0,0,1,0
138,"condition3",0,0,1,0
138,"condition3",0,0,1,0
139,"condition3",0,0,1,0
139,"condition3",0,0,1,0
140,"condition3",0,0,0,1
140,"condition3",0,0,0,1
141,"condition3",0.75,0,0,0.25
141,"condition3",0.75,0,0,0.25
142,"condition3",0,0,1,0
142,"condition3",0,0,1,0
143,"condition3",0,1,0,0
143,"condition3",0,1,0,0
144,"condition3",0,0,1,0
144,"condition3",0,0,1,0
