"id","bonus","bonusLastChangedAt","endReason","endReasonLastChangedAt","ended","endedLastChangedAt","exitStep","exitStepLastChangedAt","exitStepDone","exitStepDoneLastChangedAt","exitSurvey","exitSurveyLastChangedAt","gameID","gameIDLastChangedAt","intro","introLastChangedAt","introDone","introDoneLastChangedAt","participantID","participantIDLastChangedAt","participantIdentifierLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt","urlParamsLastChangedAt","writtenPlan","writtenPlanLastChangedAt"
"01KBT6PMKC0S215V56B18R79KJ",40,"2025-12-06T16:18:34.12502265Z","disconnected","2025-12-06T16:19:41.533346086Z","game ended","2025-12-06T16:19:41.549276843Z",1,"2025-12-06T16:21:16.715432115Z","","","{""strength"":""I was a bit low to respond, I spend a lot of time reading the instructions "",""fair"":""Yes"",""feedback"":""I encountered some technical glitches ""}","2025-12-06T16:21:16.718435026Z","01KBT6DVGK35F3HGEG7HRCQ3XJ","2025-12-06T16:07:45.525350856Z",2,"2025-12-06T16:10:24.093768793Z","true","2025-12-06T16:11:47.712223266Z","01KBT6PK3767A50TJDAD5PGTS2","2025-12-06T16:07:45.516635135Z","2025-12-06T16:07:45.516635135Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:07:45.525350856Z","baseline","2025-12-06T16:07:45.525350856Z","2025-12-06T16:07:46.162838354Z","{""plan"":""My plan is to make sure that I don't park in the same spot as my partner, to avoid penalty fee and lose bonus payment.""}","2025-12-06T16:11:47.711765841Z"
"01KBT70K8NNQC128WN4XDN6S2Z",NA,"","","","no more games","2025-12-06T16:40:22.901020524Z",NA,"","true","2025-12-06T16:16:31.583576014Z","{""gamefailed"":""nogame""}","2025-12-06T16:16:31.569213115Z","null","2025-12-06T16:40:22.901020524Z",2,"2025-12-06T16:15:21.898851599Z","","","01KBT70JD0QN2VVHZH513BM5RM","2025-12-06T16:13:11.829706128Z","2025-12-06T16:13:11.829706128Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:13:11.838168463Z","baseline","2025-12-06T16:13:11.838168463Z","2025-12-06T16:13:12.264894265Z","",""
"01KBT734QBSSKVCT6FY8H827M7",44,"2025-12-06T16:18:34.12502265Z","disconnected","2025-12-06T16:19:41.533346086Z","game ended","2025-12-06T16:19:41.549276843Z",1,"2025-12-06T16:20:05.658128229Z","","","{""strength"":""Good or average"",""fair"":""Yes"",""feedback"":""""}","2025-12-06T16:20:05.656427385Z","01KBT6DVGK35F3HGEG7HRCQ3XJ","2025-12-06T16:14:35.252911743Z",2,"2025-12-06T16:15:32.175953607Z","true","2025-12-06T16:16:09.61906656Z","01KBT7345AZW8BJR79Z9HRJKRF","2025-12-06T16:14:35.243899907Z","2025-12-06T16:14:35.243899907Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:14:35.252911743Z","baseline","2025-12-06T16:14:35.252911743Z","2025-12-06T16:14:35.577951764Z","{""plan"":""Park C And change colours in the firsts rows""}","2025-12-06T16:16:09.616848592Z"
"01KBT85HWH4JS2ZW6AWXB195AN",NA,"","","","no more games","2025-12-06T16:40:22.901020524Z",NA,"","","","","","null","2025-12-06T16:40:22.901020524Z",2,"2025-12-06T16:34:25.130977802Z","","","01KBT85H7AM2FTG7G1WMWRMMA7","2025-12-06T16:33:22.833100537Z","2025-12-06T16:33:22.833100537Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:33:22.841921649Z","baseline","2025-12-06T16:33:22.841921649Z","2025-12-06T16:33:23.177242825Z","",""
"01KBT8DK3RD8MB7BC1EQMHCNAK",271,"2025-12-06T16:44:36.874934374Z","","","game ended","2025-12-06T16:44:42.135302958Z",1,"2025-12-06T16:47:09.995515961Z","","","{""strength"":""I was planning on being the more passive partner, but I ended up having to be more aggressive. I feel like I forced the other person to do what I wanted, but it also benefited them. I wish things could have been more fair, but that would have been hard to coordinate. "",""fair"":""Probably, once the bonus is taken into account."",""feedback"":""I think I did some of the MU calculations wrong. That screen was only present for 15 seconds, so I was feeling the time pressure. If the intention of this was for the player to calculate their actual bonus, then I was probably not correct. The actual task went fine, though.""}","2025-12-06T16:47:09.997005376Z","01KBT77RTTJ1K1FK6KETJD29AX","2025-12-06T16:37:46.242610633Z",2,"2025-12-06T16:39:02.191014233Z","true","2025-12-06T16:40:22.894941677Z","01KBT8DJJKF77QCKZWJY33WV49","2025-12-06T16:37:46.232485119Z","2025-12-06T16:37:46.232485119Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:37:46.242610633Z","baseline","2025-12-06T16:37:46.242610633Z","2025-12-06T16:37:46.374624048Z","{""plan"":""We really need to avoid parking on the same spot. I will try to start by giving the other person the initiative. I will try to pick something that's not completely optimal so that the other person can have their first choice. This will help me avoid the penalty, which I think seems to be the largest priority here. ""}","2025-12-06T16:40:22.82725162Z"
"01KBT6J6061NHHYK77P89DX9JA",NA,"","","","game failed","2025-12-06T16:12:41.1986211Z",NA,"","true","2025-12-06T16:16:53.973416731Z","{""gamefailed"":""nogame""}","2025-12-06T16:16:53.971689894Z","01KBT6DVP9YPDYW9EV5APH1E2K","2025-12-06T16:05:19.504953388Z",2,"2025-12-06T16:07:00.391268777Z","true","2025-12-06T16:07:41.178693293Z","01KBT6J56N5A4ST18WQZAHCZM1","2025-12-06T16:05:19.494876485Z","2025-12-06T16:05:19.494876485Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:05:19.504953388Z","baseline","2025-12-06T16:05:19.504953388Z","2025-12-06T16:05:19.972573167Z","{""plan"":""I tend to analyse where the other person parks and then park in different spot but same colour to earn bonus, but I will try to park at purple spots. That way we can both earn maximum amount of money""}","2025-12-06T16:07:41.177691694Z"
"01KBT6J9YSNGB6NF5FMMA0XQQ8",NA,"","","","game failed","2025-12-06T16:12:41.1986211Z",NA,"","","","","","01KBT6DVP9YPDYW9EV5APH1E2K","2025-12-06T16:05:23.563429729Z",2,"2025-12-06T16:12:05.446101611Z","","","01KBT6J9HF5SQKC93QB5TAEQ66","2025-12-06T16:05:23.545455344Z","2025-12-06T16:05:23.545455344Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:05:23.563429729Z","baseline","2025-12-06T16:05:23.563429729Z","2025-12-06T16:05:23.765598357Z","",""
"01KBT6XCNEA1PVCGW5CKSN7BYA",NA,"","","","no more games","2025-12-06T16:40:22.901020524Z",NA,"","","","","","null","2025-12-06T16:40:22.901020524Z",2,"2025-12-06T16:13:55.436079174Z","","","01KBT6XC428QB2G1MP6H61SAT9","2025-12-06T16:11:26.766441587Z","2025-12-06T16:11:26.766441587Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:11:26.776650354Z","baseline","2025-12-06T16:11:26.776650354Z","2025-12-06T16:11:27.05867444Z","",""
"01KBT75QVBSEPXN876WE2F5MB9",NA,"","","","no more games","2025-12-06T16:40:22.901020524Z",NA,"","true","2025-12-06T16:16:18.394674334Z","{""gamefailed"":""nogame""}","2025-12-06T16:16:18.394290761Z","null","2025-12-06T16:40:22.901020524Z",NA,"","","","01KBT75Q3MC57S5CB817W006PQ","2025-12-06T16:16:00.36333813Z","2025-12-06T16:16:00.36333813Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:16:00.37236717Z","baseline","2025-12-06T16:16:00.37236717Z","2025-12-06T16:16:00.754448564Z","",""
"01KBT7ZN02ZZMGF2FCF272HTQW",206,"2025-12-06T16:44:36.874934374Z","","","game ended","2025-12-06T16:44:42.135302958Z",1,"2025-12-06T16:45:54.811065079Z","","","{""strength"":""very strong"",""fair"":""yes i do think it was very fair"",""feedback"":""none.""}","2025-12-06T16:45:54.807249057Z","01KBT77RTTJ1K1FK6KETJD29AX","2025-12-06T16:30:09.419235788Z",2,"2025-12-06T16:34:34.282032036Z","true","2025-12-06T16:35:47.980871016Z","01KBT7ZKV1XA0JJ7XYGF8V6A3G","2025-12-06T16:30:09.410955766Z","2025-12-06T16:30:09.410955766Z","{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2025-12-06T16:30:09.419235788Z","baseline","2025-12-06T16:30:09.419235788Z","2025-12-06T16:30:10.085486345Z","{""plan"":""Try to park in different spots to maximize payments, go for most undesirable position\n""}","2025-12-06T16:35:47.677297355Z"
