id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KBT8PTY3J53JJ61W6FBHWPKN,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:49.155382234Z,12,2025-12-06T16:42:55.48960202Z,C,2025-12-06T16:42:55.262009177Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:49.155382234Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:49.155382234Z,01KBT8JC5538T1GWHA2NJK49YW,2025-12-06T16:42:49.155382234Z
01KBT8SCE6YPQ4PF7HS8B1HFYF,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:12.614802062Z,29,2025-12-06T16:44:18.838518097Z,D,2025-12-06T16:44:13.812213178Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:12.614802062Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:12.614802062Z,01KBT8JC5A87SMC7HJNAJ5Z1E8,2025-12-06T16:44:12.614802062Z
01KBT8T22VDPABKZ2JQHAQ8Q82,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:34.779726447Z,22,2025-12-06T16:44:36.874934374Z,C,2025-12-06T16:44:36.862005114Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:34.779726447Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:34.779726447Z,01KBT8JC5D3RTVXQJX8RH8JFKQ,2025-12-06T16:44:34.779726447Z
01KBT77S2SSPQA4R28N2AYVRA4,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:17:07.161578632Z,20,2025-12-06T16:18:34.12502265Z,A,2025-12-06T16:18:34.113859793Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:17:07.161578632Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:17:07.161578632Z,01KBT760Y3XKT1HN7YNBM7EW58,2025-12-06T16:17:07.161578632Z
01KBT8N2JAW1CK3Z1WZ92XNXZG,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:51.434071347Z,20,2025-12-06T16:41:58.960499361Z,B,2025-12-06T16:41:55.14355613Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:51.434071347Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:41:51.434071347Z,01KBT8JC52TN0BGQJ72TB7R76K,2025-12-06T16:41:51.434071347Z
01KBT8NMFCQY9Y430ZJP3W7NM0,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:09.772118257Z,10,2025-12-06T16:42:17.808367214Z,A,2025-12-06T16:42:17.796751225Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:09.772118257Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:09.772118257Z,01KBT8JC537P7XSTXWVPC98DA6,2025-12-06T16:42:09.772118257Z
01KBT8RCP7F448B358GRF6X8AG,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:40.103322978Z,29,2025-12-06T16:43:42.645417763Z,D,2025-12-06T16:43:41.52962886Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:40.103322978Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:40.103322978Z,01KBT8JC57QP16MSB0DDP76DTA,2025-12-06T16:43:40.103322978Z
01KBT8T22VDPABKZ2JQ4T3A5KK,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:34.779044084Z,29,2025-12-06T16:44:36.874934374Z,D,2025-12-06T16:44:36.043460999Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:34.779044084Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:34.779044084Z,01KBT8JC5D3RTVXQJX8RH8JFKQ,2025-12-06T16:44:34.779044084Z
01KBT761T3QBYGQ4YRS1NVG73S,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:10.563759094Z,12,2025-12-06T16:16:20.584386909Z,C,2025-12-06T16:16:13.354100523Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:10.563759094Z,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:16:10.563759094Z,01KBT760Y0B15RNQ60AR931TRH,2025-12-06T16:16:10.563759094Z
01KBT76Z6MP7KVH3WPAWGA8Q5D,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:40.660338628Z,10,2025-12-06T16:16:47.092691639Z,A,2025-12-06T16:16:47.084898469Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:40.660338628Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:16:40.660338628Z,01KBT760Y3XKT1HN7YMVMVR1NR,2025-12-06T16:16:40.660338628Z
