id,advice,adviceLastChangedAt,bonus,bonusLastChangedAt,endReason,endReasonLastChangedAt,ended,endedLastChangedAt,exitStep,exitStepLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,writtenPlan,writtenPlanLastChangedAt
01KFEVA045MDV6WERMTEQ3VAYR,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T23:21:40.41524749Z,87,2026-01-20T23:25:25.976544303Z,,,game ended,2026-01-20T23:25:35.110160296Z,1,2026-01-20T23:26:45.403167812Z,,,"{""adviceFollowed"":""I think my partner did after I chose C the first round. "",""partnerAdvice"":"""",""feedback"":""No feedback or issues. Good luck on your research. ""}",2026-01-20T23:26:45.397192507Z,01KFEV378H0PY96RNMJFNCN7TE,2026-01-20T23:20:28.19628961Z,3,2026-01-20T23:21:40.41296376Z,true,2026-01-20T23:22:14.352534429Z,01KFEV9ZZXEE2C3ECC0CM9N7FF,2026-01-20T23:19:45.54114625Z,6684b71a5615b7da8e59ce56,2026-01-20T23:19:45.54114625Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:19:45.554169482Z,CG_selfish,2026-01-20T23:19:45.554169482Z,"{""PROLIFIC_PID"":""6684b71a5615b7da8e59ce56"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700d7be70c37edb81c9929""}",2026-01-20T23:19:45.621196056Z,"{""plan"":""Try to gain as many points as possible while not causing issue for others. ""}",2026-01-20T23:22:14.353857334Z
01KFEVX608THP5F5HX3GYF0X1K,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T23:32:49.87458699Z,271,2026-01-20T23:36:07.213001783Z,,,game ended,2026-01-20T23:36:15.835221319Z,1,2026-01-20T23:36:41.60029903Z,,,"{""adviceFollowed"":""My partner just went the same spot every time, letting me have more money, so no."",""partnerAdvice"":"""",""feedback"":""""}",2026-01-20T23:36:41.592580034Z,01KFEVMNBC23RB4D79KEQ4G0VS,2026-01-20T23:33:11.356904769Z,3,2026-01-20T23:32:50.125029325Z,true,2026-01-20T23:33:30.613231144Z,01KFEVX51AE16TNFMH5EHF4T9K,2026-01-20T23:30:14.152221386Z,6917a5296df6d29ebb83b1f1,2026-01-20T23:30:14.152221386Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:30:14.202008081Z,CG_selfish,2026-01-20T23:30:14.202008081Z,"{""PROLIFIC_PID"":""6917a5296df6d29ebb83b1f1"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700fd9456c32f9ec7af35b""}",2026-01-20T23:30:14.774372718Z,"{""plan"":""To coordinate with my partner to get an equal amount of money overall.""}",2026-01-20T23:33:30.60593327Z
01KFEVDMPGK2KG6CGRXX80WQ5A,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T23:24:09.971378353Z,170,2026-01-20T23:28:15.426658287Z,,,game ended,2026-01-20T23:28:29.564801762Z,1,2026-01-20T23:29:42.612317775Z,,,"{""adviceFollowed"":"""",""partnerAdvice"":""Change position everytime, purcple color is better"",""feedback"":""No it was fun""}",2026-01-20T23:29:42.61811371Z,01KFEV37PYV9HETXX2PSGE1RKD,2026-01-20T23:24:22.444483329Z,3,2026-01-20T23:24:09.976758077Z,true,2026-01-20T23:24:53.205420475Z,01KFEVDM1WNZ15TH7N1TAYHCD0,2026-01-20T23:21:44.91268483Z,695c0c263b49e67395e42b71,2026-01-20T23:21:44.91268483Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T23:21:44.922393753Z,noCG_cooperate,2026-01-20T23:21:44.922393753Z,"{""PROLIFIC_PID"":""695c0c263b49e67395e42b71"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700dacdecd377dc68e18b4""}",2026-01-20T23:21:45.260955Z,"{""plan"":""I don't really understand the game very well, but I will give it a try.""}",2026-01-20T23:24:53.21041413Z
01KFEVWH8M80FFRA88HYSK2ZSQ,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T23:31:11.444638683Z,110,2026-01-20T23:34:12.919390706Z,,,game ended,2026-01-20T23:34:21.990540297Z,1,2026-01-20T23:35:25.479213937Z,,,"{""adviceFollowed"":""Kind of? It would be best if they kept selecting C as it pays most but they chose randomly like D which has lowest payout.\nThey failed to recognise my plan of always clicking B"",""partnerAdvice"":"""",""feedback"":""seems simple""}",2026-01-20T23:35:25.486233856Z,01KFEV385166A8JYCZ9G4DMHRQ,2026-01-20T23:32:02.886525475Z,3,2026-01-20T23:31:11.438009567Z,true,2026-01-20T23:32:29.732086481Z,01KFEVWGGPE2GHXPWSN1FKG4A9,2026-01-20T23:29:52.916996026Z,6960346345a00e7143b36147,2026-01-20T23:29:52.916996026Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:29:52.93429305Z,CG_selfish,2026-01-20T23:29:52.93429305Z,"{""PROLIFIC_PID"":""6960346345a00e7143b36147"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700fc3def3f3f212e775e4""}",2026-01-20T23:29:53.342437278Z,"{""plan"":""I am going to always choose B regardless of what the other player picks. that way if they figure out what im doing we'll both earn points and if i miss out a little bit, its okay""}",2026-01-20T23:32:29.73791633Z
01KFEV4APCG117QZ1ZVXNKCJFC,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T23:18:43.35535056Z,250,2026-01-20T23:20:43.142158384Z,,,game ended,2026-01-20T23:20:52.14292251Z,1,2026-01-20T23:21:49.20209605Z,,,"{""adviceFollowed"":"""",""partnerAdvice"":""He understood the strategy we were having"",""feedback"":""""}",2026-01-20T23:21:49.204216266Z,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:16:39.778075273Z,3,2026-01-20T23:18:43.354853486Z,true,2026-01-20T23:19:21.866671652Z,01KFEV4A6EENBQ4PM8DHDMP9WJ,2026-01-20T23:16:39.756308725Z,61254bf4ef0274a29a74762f,2026-01-20T23:16:39.756308725Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T23:16:39.778075273Z,noCG_cooperate,2026-01-20T23:16:39.778075273Z,"{""PROLIFIC_PID"":""61254bf4ef0274a29a74762f"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700cbf14d6620438b23a57""}",2026-01-20T23:16:40.0366374Z,"{""plan"":""I'll always go for A, maybe my partner notices and never choses it""}",2026-01-20T23:19:21.867255493Z
01KFEVAEMR7KCKTVXTZP5SV0DW,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T23:24:00.937600114Z,,,no game available,2026-01-20T23:27:30.421538299Z,game failed,2026-01-20T23:27:19.596987686Z,,,true,2026-01-20T23:27:30.678022654Z,"{""gamefailed"":""nogame""}",2026-01-20T23:27:30.416062618Z,01KFEV37DDWATEP2WW25T4XFVW,2026-01-20T23:22:14.368787038Z,3,2026-01-20T23:24:01.194999168Z,,,01KFEVADM8SAHEX4FXSTV0S260,2026-01-20T23:20:00.408200867Z,6097ec1a8c0b4df21cbb9024,2026-01-20T23:20:00.408200867Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:20:00.421404493Z,CG_selfish,2026-01-20T23:20:00.421404493Z,"{""PROLIFIC_PID"":""6097ec1a8c0b4df21cbb9024"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700d2d9a883559b88cf6ed""}",2026-01-20T23:20:00.955697149Z,,
01KFEVD9ZATE7H5N364WWPAV31,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T23:23:53.678933011Z,213,2026-01-20T23:28:56.833719054Z,,,game ended,2026-01-20T23:29:11.455603828Z,1,2026-01-20T23:29:31.83282233Z,,,"{""adviceFollowed"":"""",""partnerAdvice"":""to go through each colour for choice"",""feedback"":""""}",2026-01-20T23:29:31.818703469Z,01KFEV37DE991T271V0NJ5BY6K,2026-01-20T23:22:30.960588943Z,3,2026-01-20T23:23:53.681802411Z,true,2026-01-20T23:24:22.429981313Z,01KFEVD9HQK8SBKDQFD95J1VSX,2026-01-20T23:21:33.93039105Z,5c097fbac15a020001bb0720,2026-01-20T23:21:33.93039105Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T23:21:33.941622344Z,noCG_cooperate,2026-01-20T23:21:33.941622344Z,"{""PROLIFIC_PID"":""5c097fbac15a020001bb0720"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700dafdf7831fb62315093""}",2026-01-20T23:21:34.169819334Z,"{""plan"":""to see what pattern has been used in the previous games""}",2026-01-20T23:24:22.426878708Z
01KFEVH5DDXBKC32H7RGDZYG1X,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T23:25:57.775149623Z,80,2026-01-20T23:29:56.887375407Z,disconnected,2026-01-20T23:30:21.893111844Z,game ended,2026-01-20T23:30:21.921689342Z,1,2026-01-20T23:30:58.268310635Z,,,"{""adviceFollowed"":""No, he disconnected. "",""partnerAdvice"":"""",""feedback"":""I love this survey. It was fun. ""}",2026-01-20T23:30:58.274923436Z,01KFEV37PV76WD06T50QFKE80T,2026-01-20T23:27:53.53528249Z,3,2026-01-20T23:25:57.770167362Z,true,2026-01-20T23:27:59.872098786Z,01KFEVH4W8KXYCAHRJS217HKAE,2026-01-20T23:23:40.3340099Z,66bae5a3901395ad7fb4bad6,2026-01-20T23:23:40.3340099Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T23:23:40.346943578Z,CG_cooperate,2026-01-20T23:23:40.346943578Z,"{""PROLIFIC_PID"":""66bae5a3901395ad7fb4bad6"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700e5e2c9849c5153b8e28""}",2026-01-20T23:23:40.482348818Z,"{""plan"":""We'll try to not get in the same parking spot. It's best that we park in different parking lot colors. We should prioritize the purple parking lot with 19 MU and any orange parking lot.  ""}",2026-01-20T23:27:59.875893975Z
01KFEVPWBRY752DTB82B16S8FH,,,,,no game available,2026-01-20T23:27:23.866898641Z,game failed,2026-01-20T23:27:19.596987686Z,,,true,2026-01-20T23:27:23.871957097Z,"{""gamefailed"":""nogame""}",2026-01-20T23:27:23.86109352Z,01KFEV37DDWATEP2WW25T4XFVW,2026-01-20T23:26:47.686481405Z,1,2026-01-20T23:27:09.74005065Z,,,01KFEVPW1N197XWY4M3YD3KH8C,2026-01-20T23:26:47.672854306Z,63be3c7ab7bccecc7dc80cd4,2026-01-20T23:26:47.672854306Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:26:47.686481405Z,CG_selfish,2026-01-20T23:26:47.686481405Z,"{""PROLIFIC_PID"":""63be3c7ab7bccecc7dc80cd4"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700f17379104e8da65290d""}",2026-01-20T23:26:47.875869109Z,,
01KFEVT25T940Z2TG7G91WJBKE,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T23:34:14.528055335Z,10,2026-01-20T23:36:16.0940796Z,disconnected,2026-01-20T23:38:16.451232665Z,game ended,2026-01-20T23:38:16.492802268Z,1,2026-01-20T23:43:33.435759918Z,,,"{""adviceFollowed"":""We did a good job following the advice since we coordinated smoothly and kept the outcome fair.\n"",""partnerAdvice"":"""",""feedback"":""no""}",2026-01-20T23:43:33.426036769Z,01KFEVMNH60E845G0BNN18WWCX,2026-01-20T23:33:52.796581012Z,3,2026-01-20T23:34:14.75386057Z,true,2026-01-20T23:34:37.922361821Z,01KFEVT0VRSNGTZ4MDGWN4GX93,2026-01-20T23:28:31.930647897Z,67e40bab848c22a30914c34c,2026-01-20T23:28:31.930647897Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T23:28:31.946542628Z,CG_selfish,2026-01-20T23:28:31.946542628Z,"{""PROLIFIC_PID"":""67e40bab848c22a30914c34c"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""69700ced941ee495629a3635""}",2026-01-20T23:28:32.561047696Z,"{""plan"":""My plan is to coordinate on orange A/B for equal 20 MU each, or alternate C/D for fairness.\n""}",2026-01-20T23:34:37.931966664Z
